,num,joueur
0,,Dwight Tiendalli
1,,Pablo Hernández
2,,Garry Monk
3,,Àngel Rangel
4,,Danny Graham
5,,Nathan Dyer
6,,Wayne Routledge
7,,Jonathan de Guzmán
8,,Kemy Agustien
9,,
10,,Michel Vorm
