,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
0,2012-08-18,,Premier League,Matchweek 1,Sat,Away,L,0,1,West Ham,,"34,172",,4-2-3-1,Mike Dean,https://fbref.com/en/matches/2807d2ca/West-Ham-United-Aston-Villa-August-18-2012-Premier-League,
1,2012-08-25,,Premier League,Matchweek 2,Sat,Home,L,1,3,Everton,,"36,565",,4-4-2,Michael Oliver,https://fbref.com/en/matches/7e24fbc7/Aston-Villa-Everton-August-25-2012-Premier-League,
2,2012-09-02,,Premier League,Matchweek 3,Sun,Away,D,1,1,Newcastle Utd,,"48,245",,4-4-2,Lee Probert,https://fbref.com/en/matches/371d6528/Newcastle-United-Aston-Villa-September-2-2012-Premier-League,
3,2012-09-15,,Premier League,Matchweek 4,Sat,Home,W,2,0,Swansea City,,"34,005",,4-4-2,Lee Mason,https://fbref.com/en/matches/c4a53240/Aston-Villa-Swansea-City-September-15-2012-Premier-League,
4,2012-09-22,,Premier League,Matchweek 5,Sat,Away,L,1,4,Southampton,,"30,713",,4-1-2-1-2◆,Jon Moss,https://fbref.com/en/matches/fe29a9be/Southampton-Aston-Villa-September-22-2012-Premier-League,
5,2012-09-30,,Premier League,Matchweek 6,Sun,Home,D,1,1,West Brom,,"34,489",,4-2-3-1,Anthony Taylor,https://fbref.com/en/matches/c25b5c49/Aston-Villa-West-Bromwich-Albion-September-30-2012-Premier-League,
6,2012-10-07,,Premier League,Matchweek 7,Sun,Away,L,0,2,Tottenham,,"35,802",,4-2-3-1,Neil Swarbrick,https://fbref.com/en/matches/ab3004c6/Tottenham-Hotspur-Aston-Villa-October-7-2012-Premier-League,
7,2012-10-20,,Premier League,Matchweek 8,Sat,Away,L,0,1,Fulham,,"25,693",,4-2-3-1,Chris Foy,https://fbref.com/en/matches/016c7401/Fulham-Aston-Villa-October-20-2012-Premier-League,
8,2012-10-27,,Premier League,Matchweek 9,Sat,Home,D,1,1,Norwich City,,"33,184",,4-4-2,Phil Dowd,https://fbref.com/en/matches/670f06c5/Aston-Villa-Norwich-City-October-27-2012-Premier-League,
9,2012-11-03,,Premier League,Matchweek 10,Sat,Away,W,1,0,Sunderland,,"41,515",,4-4-2,Mike Jones,https://fbref.com/en/matches/4cb80537/Sunderland-Aston-Villa-November-3-2012-Premier-League,
10,2012-11-10,,Premier League,Matchweek 11,Sat,Home,L,2,3,Manchester Utd,,"40,538",,4-2-3-1,Kevin Friend,https://fbref.com/en/matches/99b25a90/Aston-Villa-Manchester-United-November-10-2012-Premier-League,
11,2012-11-17,,Premier League,Matchweek 12,Sat,Away,L,0,5,Manchester City,,"47,072",,4-2-3-1,Jon Moss,https://fbref.com/en/matches/42c33d7a/Manchester-City-Aston-Villa-November-17-2012-Premier-League,
12,2012-11-24,,Premier League,Matchweek 13,Sat,Home,D,0,0,Arsenal,,"34,607",,4-2-3-1,Lee Mason,https://fbref.com/en/matches/fd194998/Aston-Villa-Arsenal-November-24-2012-Premier-League,
13,2012-11-27,,Premier League,Matchweek 14,Tue,Home,W,1,0,Reading,,"28,692",,4-2-3-1,Lee Probert,https://fbref.com/en/matches/af316f48/Aston-Villa-Reading-November-27-2012-Premier-League,
14,2012-12-01,,Premier League,Matchweek 15,Sat,Away,D,1,1,QPR,,"17,387",,4-5-1,Howard Webb,https://fbref.com/en/matches/8760ee94/Queens-Park-Rangers-Aston-Villa-December-1-2012-Premier-League,
15,2012-12-08,,Premier League,Matchweek 16,Sat,Home,D,0,0,Stoke City,,"30,110",,5-3-2,Roger East,https://fbref.com/en/matches/ba11d96e/Aston-Villa-Stoke-City-December-8-2012-Premier-League,
16,2012-12-15,,Premier League,Matchweek 17,Sat,Away,W,3,1,Liverpool,,"44,607",,3-5-2,Neil Swarbrick,https://fbref.com/en/matches/ddb564a1/Liverpool-Aston-Villa-December-15-2012-Premier-League,
17,2012-12-23,,Premier League,Matchweek 18,Sun,Away,L,0,8,Chelsea,,"41,363",,3-5-1-1,Phil Dowd,https://fbref.com/en/matches/f413452c/Chelsea-Aston-Villa-December-23-2012-Premier-League,
18,2012-12-26,,Premier League,Matchweek 19,Wed,Home,L,0,4,Tottenham,,"36,863",,3-5-1-1,Mark Clattenburg,https://fbref.com/en/matches/1f8e4b9d/Aston-Villa-Tottenham-Hotspur-December-26-2012-Premier-League,
19,2012-12-29,,Premier League,Matchweek 20,Sat,Home,L,0,3,Wigan Athletic,,"33,374",,5-3-2,Kevin Friend,https://fbref.com/en/matches/9e22bd06/Aston-Villa-Wigan-Athletic-December-29-2012-Premier-League,
20,2013-01-01,,Premier League,Matchweek 21,Tue,Away,D,2,2,Swansea City,,"20,406",,4-4-2,Mark Halsey,https://fbref.com/en/matches/a86a4c8e/Swansea-City-Aston-Villa-January-1-2013-Premier-League,
21,2013-01-12,,Premier League,Matchweek 22,Sat,Home,L,0,1,Southampton,,"32,500",,4-2-3-1,Mark Halsey,https://fbref.com/en/matches/40ca57e8/Aston-Villa-Southampton-January-12-2013-Premier-League,
22,2013-01-19,,Premier League,Matchweek 23,Sat,Away,D,2,2,West Brom,,"25,583",,3-4-3,Lee Probert,https://fbref.com/en/matches/c12472d3/West-Bromwich-Albion-Aston-Villa-January-19-2013-Premier-League,
23,2013-01-29,,Premier League,Matchweek 24,Tue,Home,L,1,2,Newcastle Utd,,"30,334",,3-5-2,Mike Dean,https://fbref.com/en/matches/829dcb4f/Aston-Villa-Newcastle-United-January-29-2013-Premier-League,
24,2013-02-02,,Premier League,Matchweek 25,Sat,Away,D,3,3,Everton,,"38,121",,4-2-3-1,Mike Jones,https://fbref.com/en/matches/a59325aa/Everton-Aston-Villa-February-2-2013-Premier-League,
25,2013-02-10,,Premier League,Matchweek 26,Sun,Home,W,2,1,West Ham,,"30,503",,4-2-3-1,Mark Clattenburg,https://fbref.com/en/matches/461253ac/Aston-Villa-West-Ham-United-February-10-2013-Premier-League,
26,2013-02-23,,Premier League,Matchweek 27,Sat,Away,L,1,2,Arsenal,,"60,079",,4-2-3-1,Martin Atkinson,https://fbref.com/en/matches/8387de0b/Arsenal-Aston-Villa-February-23-2013-Premier-League,
27,2013-03-04,,Premier League,Matchweek 28,Mon,Home,L,0,1,Manchester City,,"33,217",,4-2-3-1,Mike Dean,https://fbref.com/en/matches/a93cbe3d/Aston-Villa-Manchester-City-March-4-2013-Premier-League,
