,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels
,Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
0,Harry Kane,10.0,eng ENG,FW,25-148,90,0,0,0,0,0,1,0,0,0,0,0,0,0,3,5,37.5
1,Son Heung-min,7.0,kr KOR,FW,26-168,78,0,0,0,1,2,0,1,1,0,0,0,0,4,1,2,33.3
2,Oliver Skipp,52.0,eng ENG,DM,18-098,12,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,
3,Dele Alli,20.0,eng ENG,AM,22-256,45,0,0,0,1,1,1,0,1,0,0,0,0,3,0,0,
4,Érik Lamela,11.0,ar ARG,"AM,RW",26-294,45,0,0,0,2,1,0,0,0,1,0,0,0,3,0,0,
5,Christian Eriksen,23.0,dk DEN,"LM,LW",26-312,90,1,0,0,0,0,0,0,0,0,0,0,0,7,1,1,50.0
6,Moussa Sissoko,17.0,fr FRA,"RM,RW",29-129,82,0,0,0,1,3,0,1,2,1,0,0,0,8,1,1,50.0
7,Lucas Moura,27.0,br BRA,AM,26-132,8,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,100.0
8,Harry Winks,8.0,eng ENG,DM,22-324,90,0,0,0,0,0,0,0,1,1,0,0,0,4,3,0,100.0
9,Ben Davies,33.0,wls WAL,LB,25-243,90,0,0,0,0,1,0,0,0,0,0,0,0,2,4,2,66.7
10,Toby Alderweireld,4.0,be BEL,CB,29-296,90,0,0,0,1,0,0,0,0,0,0,0,0,6,3,1,75.0
11,Davinson Sánchez,6.0,co COL,CB,22-194,90,0,0,0,1,3,0,0,2,2,0,0,0,6,3,1,75.0
12,Kieran Trippier,2.0,eng ENG,RB,28-095,90,1,0,0,2,0,0,1,3,1,0,0,0,7,1,0,100.0
13,Hugo Lloris,1.0,fr FRA,GK,31-362,90,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
14,14 Players,,,,,990,2,0,0,9,13,2,3,10,6,0,0,0,53,21,13,61.8
