,num,joueur
0,1,David de Gea
1,3,Eric Bailly
2,6,Paul Pogba
3,9,Zlatan Ibrahimović
4,10,Wayne Rooney
5,14,Jesse Lingard
6,17,Daley Blind
7,22,Henrikh Mkhitaryan
8,23,Luke Shaw
9,25,Antonio Valencia
10,27,Marouane Fellaini
