,equipe,lien
0,Liverpool-Stats,https://fbref.com/en/squads/822bd0ba/2019-2020/Liverpool-Stats
1,Manchester-City-Stats,https://fbref.com/en/squads/b8fd03ef/2019-2020/Manchester-City-Stats
2,Manchester-United-Stats,https://fbref.com/en/squads/19538871/2019-2020/Manchester-United-Stats
3,Chelsea-Stats,https://fbref.com/en/squads/cff3d9bb/2019-2020/Chelsea-Stats
4,Leicester-City-Stats,https://fbref.com/en/squads/a2d435b3/2019-2020/Leicester-City-Stats
5,Tottenham-Hotspur-Stats,https://fbref.com/en/squads/361ca564/2019-2020/Tottenham-Hotspur-Stats
6,Wolverhampton-Wanderers-Stats,https://fbref.com/en/squads/8cec06e1/2019-2020/Wolverhampton-Wanderers-Stats
7,Arsenal-Stats,https://fbref.com/en/squads/18bb7c10/2019-2020/Arsenal-Stats
8,Sheffield-United-Stats,https://fbref.com/en/squads/1df6b87e/2019-2020/Sheffield-United-Stats
9,Burnley-Stats,https://fbref.com/en/squads/943e8050/2019-2020/Burnley-Stats
10,Southampton-Stats,https://fbref.com/en/squads/33c895d4/2019-2020/Southampton-Stats
11,Everton-Stats,https://fbref.com/en/squads/d3fd31cc/2019-2020/Everton-Stats
12,Newcastle-United-Stats,https://fbref.com/en/squads/b2b47a98/2019-2020/Newcastle-United-Stats
13,Crystal-Palace-Stats,https://fbref.com/en/squads/47c64c55/2019-2020/Crystal-Palace-Stats
14,Brighton-and-Hove-Albion-Stats,https://fbref.com/en/squads/d07537b9/2019-2020/Brighton-and-Hove-Albion-Stats
15,West-Ham-United-Stats,https://fbref.com/en/squads/7c21e445/2019-2020/West-Ham-United-Stats
16,Aston-Villa-Stats,https://fbref.com/en/squads/8602292d/2019-2020/Aston-Villa-Stats
17,Bournemouth-Stats,https://fbref.com/en/squads/4ba7cbea/2019-2020/Bournemouth-Stats
18,Watford-Stats,https://fbref.com/en/squads/2abfe087/2019-2020/Watford-Stats
19,Norwich-City-Stats,https://fbref.com/en/squads/1c781004/2019-2020/Norwich-City-Stats
