,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
0,Alexis Sánchez,7.0,cl CHI,FW,27-308,90,0,0,0,0,4,3,0,0,1,2,2,0,0,0,0,0,0
1,Alex Iwobi,17.0,ng NGA,AM,20-172,66,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
2,Lucas Pérez,9.0,es ESP,"FW,MF",28-042,24,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
3,Theo Walcott,14.0,eng ENG,AM,27-220,90,0,0,0,0,2,2,0,0,0,1,1,5,0,0,0,0,0
4,Mesut Özil,11.0,de GER,AM,28-007,90,0,0,0,0,1,0,0,0,0,1,1,8,0,0,0,0,0
5,Francis Coquelin,34.0,fr FRA,DM,25-162,90,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0
6,Mohamed Elneny,35.0,eg EGY,DM,24-103,73,0,0,0,0,1,0,0,0,1,1,0,2,3,1,0,0,0
7,Alex Oxlade-Chamberlain,15.0,eng ENG,"FW,MF",23-068,17,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0
8,Nacho Monreal,18.0,es ESP,LB,30-239,90,0,0,0,0,0,0,0,0,1,2,0,5,1,2,0,0,0
9,Laurent Koscielny,6.0,fr FRA,CB,31-042,90,0,0,0,0,0,0,0,0,0,0,1,0,1,4,0,0,0
10,Shkodran Mustafi,20.0,de GER,CB,24-188,90,0,0,0,0,1,0,1,0,1,1,0,3,0,1,0,0,0
11,Héctor Bellerín,24.0,es ESP,RB,21-217,90,0,0,0,0,0,0,0,0,2,1,0,3,1,4,0,0,0
12,Petr Čech,33.0,cz CZE,GK,34-155,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,13 Players,,,,,990,0,0,0,0,9,5,1,0,7,13,5,29,7,14,0,0,0
