,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
0,2017-08-12,12:30 ,Premier League,Matchweek 1,Sat,Away,D,3,3,Watford,2.6,2.1,54,"20,407",Jordan Henderson,4-3-3,Anthony Taylor,https://fbref.com/en/matches/60f6cc1d/Watford-Liverpool-August-12-2017-Premier-League,
2,2017-08-19,15:00 ,Premier League,Matchweek 2,Sat,Home,W,1,0,Crystal Palace,2.5,0.7,71,"53,138",Jordan Henderson,4-3-3,Kevin Friend,https://fbref.com/en/matches/ea1213ed/Liverpool-Crystal-Palace-August-19-2017-Premier-League,
4,2017-08-27,16:00 ,Premier League,Matchweek 3,Sun,Home,W,4,0,Arsenal,3.1,0.6,48,"53,206",Jordan Henderson,4-3-3,Craig Pawson,https://fbref.com/en/matches/e4374144/Liverpool-Arsenal-August-27-2017-Premier-League,
5,2017-09-09,12:30 ,Premier League,Matchweek 4,Sat,Away,L,0,5,Manchester City,0.7,2.4,34,"54,172",Jordan Henderson,4-3-3,Jonathan Moss,https://fbref.com/en/matches/39dcce19/Manchester-City-Liverpool-September-9-2017-Premier-League,
7,2017-09-16,15:00 ,Premier League,Matchweek 5,Sat,Home,D,1,1,Burnley,2.2,0.2,71,"53,231",James Milner,4-3-3,Roger East,https://fbref.com/en/matches/ab422c29/Liverpool-Burnley-September-16-2017-Premier-League,
9,2017-09-23,17:30 ,Premier League,Matchweek 6,Sat,Away,W,3,2,Leicester City,1.7,2.8,55,"32,004",Jordan Henderson,4-3-3,Anthony Taylor,https://fbref.com/en/matches/4bdab275/Leicester-City-Liverpool-September-23-2017-Premier-League,
11,2017-10-01,16:30 ,Premier League,Matchweek 7,Sun,Away,D,1,1,Newcastle Utd,1.3,0.3,67,"52,303",Jordan Henderson,4-3-3,Craig Pawson,https://fbref.com/en/matches/b1b3ecb9/Newcastle-United-Liverpool-October-1-2017-Premier-League,
12,2017-10-14,12:30 ,Premier League,Matchweek 8,Sat,Home,D,0,0,Manchester Utd,1.5,0.2,62,"52,912",Jordan Henderson,4-3-3,Martin Atkinson,https://fbref.com/en/matches/d7dce737/North-West-Derby-Liverpool-Manchester-United-October-14-2017-Premier-League,
14,2017-10-22,16:00 ,Premier League,Matchweek 9,Sun,Away,L,1,4,Tottenham,0.6,2.0,63,"80,827",Jordan Henderson,4-3-3,Andre Marriner,https://fbref.com/en/matches/b43525f5/Tottenham-Hotspur-Liverpool-October-22-2017-Premier-League,
15,2017-10-28,15:00 ,Premier League,Matchweek 10,Sat,Home,W,3,0,Huddersfield,2.1,0.1,72,"53,268",Jordan Henderson,4-3-3,Kevin Friend,https://fbref.com/en/matches/9e2f900f/Liverpool-Huddersfield-Town-October-28-2017-Premier-League,
17,2017-11-04,17:30 ,Premier League,Matchweek 11,Sat,Away,W,4,1,West Ham,2.7,1.2,52,"56,961",Simon Mignolet,4-2-2-2,Niel Swarbrick,https://fbref.com/en/matches/172202bc/West-Ham-United-Liverpool-November-4-2017-Premier-League,
18,2017-11-18,15:00 ,Premier League,Matchweek 12,Sat,Home,W,3,0,Southampton,2.0,0.4,61,"53,256",Jordan Henderson,4-3-3,Mike Jones,https://fbref.com/en/matches/78df644e/Liverpool-Southampton-November-18-2017-Premier-League,
20,2017-11-25,17:30 ,Premier League,Matchweek 13,Sat,Home,D,1,1,Chelsea,1.2,0.8,53,"53,225",Jordan Henderson,4-3-3,Michael Oliver,https://fbref.com/en/matches/aa480195/Liverpool-Chelsea-November-25-2017-Premier-League,
21,2017-11-29,20:00 ,Premier League,Matchweek 14,Wed,Away,W,3,0,Stoke City,2.9,0.9,59,"29,423",Simon Mignolet,4-2-3-1,Martin Atkinson,https://fbref.com/en/matches/21c13e13/Stoke-City-Liverpool-November-29-2017-Premier-League,
22,2017-12-02,15:00 ,Premier League,Matchweek 15,Sat,Away,W,5,1,Brighton,1.8,1.7,57,"30,634",Jordan Henderson,3-5-1-1,Graham Scott,https://fbref.com/en/matches/92a410a2/Brighton-and-Hove-Albion-Liverpool-December-2-2017-Premier-League,
24,2017-12-10,14:15 ,Premier League,Matchweek 16,Sun,Home,D,1,1,Everton,1.6,0.9,79,"53,082",Jordan Henderson,4-3-3,Craig Pawson,https://fbref.com/en/matches/347ec791/Merseyside-Derby-Liverpool-Everton-December-10-2017-Premier-League,
25,2017-12-13,20:00 ,Premier League,Matchweek 17,Wed,Home,D,0,0,West Brom,2.1,0.4,70,"53,243",Philippe Coutinho,4-4-2,Paul Tierney,https://fbref.com/en/matches/1b7ef0bf/Liverpool-West-Bromwich-Albion-December-13-2017-Premier-League,
26,2017-12-17,16:30 ,Premier League,Matchweek 18,Sun,Away,W,4,0,Bournemouth,2.5,0.6,56,"10,780",Jordan Henderson,4-3-3,Andre Marriner,https://fbref.com/en/matches/790f1ce3/Bournemouth-Liverpool-December-17-2017-Premier-League,
27,2017-12-22,19:45 ,Premier League,Matchweek 19,Fri,Away,D,3,3,Arsenal,2.0,1.2,46,"59,409",Jordan Henderson,4-2-3-1,Martin Atkinson,https://fbref.com/en/matches/12c55371/Arsenal-Liverpool-December-22-2017-Premier-League,
28,2017-12-26,17:30 ,Premier League,Matchweek 20,Tue,Home,W,5,0,Swansea City,3.1,0.4,55,"52,850",Philippe Coutinho,4-3-3,Kevin Friend,https://fbref.com/en/matches/0d761f4b/Liverpool-Swansea-City-December-26-2017-Premier-League,
29,2017-12-30,15:00 ,Premier League,Matchweek 21,Sat,Home,W,2,1,Leicester City,2.9,0.7,61,"53,226",James Milner,4-3-3,Niel Swarbrick,https://fbref.com/en/matches/a26f1f91/Liverpool-Leicester-City-December-30-2017-Premier-League,
30,2018-01-01,15:00 ,Premier League,Matchweek 22,Mon,Away,W,2,1,Burnley,1.7,1.3,58,"21,756",Simon Mignolet,4-2-3-1,Roger East,https://fbref.com/en/matches/5bc68150/Burnley-Liverpool-January-1-2018-Premier-League,
32,2018-01-14,16:00 ,Premier League,Matchweek 23,Sun,Home,W,4,3,Manchester City,0.8,0.8,36,"53,285",Dejan Lovren,4-3-3,Andre Marriner,https://fbref.com/en/matches/481fc676/Liverpool-Manchester-City-January-14-2018-Premier-League,
33,2018-01-22,20:00 ,Premier League,Matchweek 24,Mon,Away,L,0,1,Swansea City,2.5,0.2,71,"20,886",Emre Can,4-2-3-1,Niel Swarbrick,https://fbref.com/en/matches/2c81652d/Swansea-City-Liverpool-January-22-2018-Premier-League,
35,2018-01-30,20:00 ,Premier League,Matchweek 25,Tue,Away,W,3,0,Huddersfield,1.8,0.3,74,"24,121",Jordan Henderson,4-3-3,Kevin Friend,https://fbref.com/en/matches/813d0751/Huddersfield-Town-Liverpool-January-30-2018-Premier-League,
36,2018-02-04,16:30 ,Premier League,Matchweek 26,Sun,Home,D,2,2,Tottenham,1.2,2.6,34,"53,213",Jordan Henderson,4-3-3,Jonathan Moss,https://fbref.com/en/matches/4825ca2d/Liverpool-Tottenham-Hotspur-February-4-2018-Premier-League,
37,2018-02-11,16:30 ,Premier League,Matchweek 27,Sun,Away,W,2,0,Southampton,1.9,0.9,48,"31,915",Emre Can,4-3-3,Martin Atkinson,https://fbref.com/en/matches/016d56ed/Southampton-Liverpool-February-11-2018-Premier-League,
39,2018-02-24,15:00 ,Premier League,Matchweek 28,Sat,Home,W,4,1,West Ham,4.0,0.4,67,"53,256",James Milner,4-3-3,Stuart Attwell,https://fbref.com/en/matches/c7b11325/Liverpool-West-Ham-United-February-24-2018-Premier-League,
40,2018-03-03,17:30 ,Premier League,Matchweek 29,Sat,Home,W,2,0,Newcastle Utd,1.5,0.3,70,"53,287",Jordan Henderson,4-3-3,Graham Scott,https://fbref.com/en/matches/0280920f/Liverpool-Newcastle-United-March-3-2018-Premier-League,
42,2018-03-10,12:30 ,Premier League,Matchweek 30,Sat,Away,L,1,2,Manchester Utd,0.7,0.7,67,"74,855",James Milner,4-3-3,Craig Pawson,https://fbref.com/en/matches/00e55ca8/North-West-Derby-Manchester-United-Liverpool-March-10-2018-Premier-League,
43,2018-03-17,17:30 ,Premier League,Matchweek 31,Sat,Home,W,5,0,Watford,2.3,0.4,58,"53,287",Jordan Henderson,4-3-3,Anthony Taylor,https://fbref.com/en/matches/99d79931/Liverpool-Watford-March-17-2018-Premier-League,
44,2018-03-31,12:30 ,Premier League,Matchweek 32,Sat,Away,W,2,1,Crystal Palace,1.8,1.9,67,"25,807",Jordan Henderson,4-3-3,Niel Swarbrick,https://fbref.com/en/matches/98213b8d/Crystal-Palace-Liverpool-March-31-2018-Premier-League,
46,2018-04-07,12:30 ,Premier League,Matchweek 33,Sat,Away,D,0,0,Everton,0.9,0.6,61,"39,220",Jordan Henderson,4-3-3,Michael Oliver,https://fbref.com/en/matches/675b2cb4/Merseyside-Derby-Everton-Liverpool-April-7-2018-Premier-League,
48,2018-04-14,17:30 ,Premier League,Matchweek 34,Sat,Home,W,3,0,Bournemouth,2.0,0.3,61,"52,959",Jordan Henderson,4-3-3,Chris Kavanagh,https://fbref.com/en/matches/3c508794/Liverpool-Bournemouth-April-14-2018-Premier-League,
49,2018-04-21,12:30 ,Premier League,Matchweek 35,Sat,Away,D,2,2,West Brom,1.3,1.3,61,"24,520",Jordan Henderson,4-3-3,Stuart Attwell,https://fbref.com/en/matches/a1c7d96c/West-Bromwich-Albion-Liverpool-April-21-2018-Premier-League,
51,2018-04-28,12:30 ,Premier League,Matchweek 36,Sat,Home,D,0,0,Stoke City,1.9,0.6,71,"53,255",Jordan Henderson,4-3-3,Andre Marriner,https://fbref.com/en/matches/b6b246c1/Liverpool-Stoke-City-April-28-2018-Premier-League,
53,2018-05-06,16:30 ,Premier League,Matchweek 37,Sun,Away,L,0,1,Chelsea,0.5,0.6,68,"41,314",James Milner,4-3-3,Anthony Taylor,https://fbref.com/en/matches/b9a7da48/Chelsea-Liverpool-May-6-2018-Premier-League,
54,2018-05-13,15:00 ,Premier League,Matchweek 38,Sun,Home,W,4,0,Brighton,2.8,0.1,72,"50,752",Jordan Henderson,4-2-3-1,Kevin Friend,https://fbref.com/en/matches/0c92e854/Liverpool-Brighton-and-Hove-Albion-May-13-2018-Premier-League,
