,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
0,2010-08-14,,Premier League,Matchweek 1,Sat,Away,D,0,0,Tottenham,,"35,928",,4-3-3,Andre Marriner,https://fbref.com/en/matches/66b90d06/Tottenham-Hotspur-Manchester-City-August-14-2010-Premier-League,
2,2010-08-23,,Premier League,Matchweek 2,Mon,Home,W,3,0,Liverpool,,"47,087",,4-2-3-1,Phil Dowd,https://fbref.com/en/matches/250c9ab9/Manchester-City-Liverpool-August-23-2010-Premier-League,
4,2010-08-29,,Premier League,Matchweek 3,Sun,Away,L,0,1,Sunderland,,"38,610",,4-5-1,Mike Dean,https://fbref.com/en/matches/a1966132/Sunderland-Manchester-City-August-29-2010-Premier-League,
5,2010-09-11,,Premier League,Matchweek 4,Sat,Home,D,1,1,Blackburn,,"44,246",,4-5-1,Mark Clattenburg,https://fbref.com/en/matches/fcc5349d/Manchester-City-Blackburn-Rovers-September-11-2010-Premier-League,
7,2010-09-19,,Premier League,Matchweek 5,Sun,Away,W,2,0,Wigan Athletic,,"15,525",,4-3-3,Lee Probert,https://fbref.com/en/matches/286abc0e/Wigan-Athletic-Manchester-City-September-19-2010-Premier-League,
8,2010-09-25,,Premier League,Matchweek 6,Sat,Home,W,1,0,Chelsea,,"47,203",,4-5-1,Andre Marriner,https://fbref.com/en/matches/7d8d72f7/Manchester-City-Chelsea-September-25-2010-Premier-League,
10,2010-10-03,,Premier League,Matchweek 7,Sun,Home,W,2,1,Newcastle Utd,,"46,067",,4-5-1,Martin Atkinson,https://fbref.com/en/matches/dcd5940e/Manchester-City-Newcastle-United-October-3-2010-Premier-League,
11,2010-10-17,,Premier League,Matchweek 8,Sun,Away,W,3,2,Blackpool,,"16,116",,4-3-3,Phil Dowd,https://fbref.com/en/matches/87e0425f/Blackpool-Manchester-City-October-17-2010-Premier-League,
13,2010-10-24,,Premier League,Matchweek 9,Sun,Home,L,0,3,Arsenal,,"47,393",,4-5-1,Mark Clattenburg,https://fbref.com/en/matches/06943b36/Manchester-City-Arsenal-October-24-2010-Premier-League,
14,2010-10-30,,Premier League,Matchweek 10,Sat,Away,L,1,2,Wolves,,"25,971",,4-2-3-1,Mike Dean,https://fbref.com/en/matches/46cb3d0d/Wolverhampton-Wanderers-Manchester-City-October-30-2010-Premier-League,
16,2010-11-07,,Premier League,Matchweek 11,Sun,Away,W,2,0,West Brom,,"23,013",,4-2-3-1,Lee Probert,https://fbref.com/en/matches/a429b282/West-Bromwich-Albion-Manchester-City-November-7-2010-Premier-League,
17,2010-11-10,,Premier League,Matchweek 12,Wed,Home,D,0,0,Manchester Utd,,"47,210",,4-3-3,Chris Foy,https://fbref.com/en/matches/2e213f50/Manchester-Derby-Manchester-City-Manchester-United-November-10-2010-Premier-League,
18,2010-11-13,,Premier League,Matchweek 13,Sat,Home,D,0,0,Birmingham City,,"44,321",,4-3-3,Mike Jones,https://fbref.com/en/matches/2fcea299/Manchester-City-Birmingham-City-November-13-2010-Premier-League,
19,2010-11-21,,Premier League,Matchweek 14,Sun,Away,W,4,1,Fulham,,"25,694",,4-3-3,Lee Mason,https://fbref.com/en/matches/9a69c229/Fulham-Manchester-City-November-21-2010-Premier-League,
20,2010-11-27,,Premier League,Matchweek 15,Sat,Away,D,1,1,Stoke City,,"27,405",,4-3-3,Peter Walton,https://fbref.com/en/matches/56b32943/Stoke-City-Manchester-City-November-27-2010-Premier-League,
22,2010-12-04,,Premier League,Matchweek 16,Sat,Home,W,1,0,Bolton,,"46,860",,4-3-3,Andre Marriner,https://fbref.com/en/matches/df0adbbc/Manchester-City-Bolton-Wanderers-December-4-2010-Premier-League,
23,2010-12-11,,Premier League,Matchweek 17,Sat,Away,W,3,1,West Ham,,"32,813",,4-3-3,Phil Dowd,https://fbref.com/en/matches/75898481/West-Ham-United-Manchester-City-December-11-2010-Premier-League,
25,2010-12-20,,Premier League,Matchweek 18,Mon,Home,L,1,2,Everton,,"45,028",,4-3-3,Peter Walton,https://fbref.com/en/matches/0957f254/Manchester-City-Everton-December-20-2010-Premier-League,
