,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
1,2019-08-10,12:30 ,Premier League,Matchweek 1,Sat,Away,W,5,0,West Ham,3.2,1.1,57,"59,870",David Silva,4-3-3,Mike Dean,https://fbref.com/en/matches/71c8a43e/West-Ham-United-Manchester-City-August-10-2019-Premier-League,
2,2019-08-17,17:30 ,Premier League,Matchweek 2,Sat,Home,D,2,2,Tottenham,2.9,0.1,55,"54,503",Kevin De Bruyne,4-2-3-1,Michael Oliver,https://fbref.com/en/matches/a4ba771e/Manchester-City-Tottenham-Hotspur-August-17-2019-Premier-League,
3,2019-08-25,14:00 ,Premier League,Matchweek 3,Sun,Away,W,3,1,Bournemouth,3.0,2.2,74,"10,486",David Silva,4-3-3,Andre Marriner,https://fbref.com/en/matches/7728bd7e/Bournemouth-Manchester-City-August-25-2019-Premier-League,
4,2019-08-31,15:00 ,Premier League,Matchweek 4,Sat,Home,W,4,0,Brighton,1.9,0.9,53,"54,386",David Silva,4-3-3,Jonathan Moss,https://fbref.com/en/matches/5b9865ad/Manchester-City-Brighton-and-Hove-Albion-August-31-2019-Premier-League,
5,2019-09-14,17:30 ,Premier League,Matchweek 5,Sat,Away,L,2,3,Norwich City,2.3,1.5,68,"27,035",David Silva,4-2-3-1,Kevin Friend,https://fbref.com/en/matches/1c7bccd4/Norwich-City-Manchester-City-September-14-2019-Premier-League,
7,2019-09-21,15:00 ,Premier League,Matchweek 6,Sat,Home,W,8,0,Watford,5.9,0.4,68,"54,273",David Silva,4-3-3,Mike Dean,https://fbref.com/en/matches/4672d0d7/Manchester-City-Watford-September-21-2019-Premier-League,
9,2019-09-28,17:30 ,Premier League,Matchweek 7,Sat,Away,W,3,1,Everton,2.8,2.4,63,"39,222",Fernandinho,4-3-3,Michael Oliver,https://fbref.com/en/matches/1b9f4fc3/Everton-Manchester-City-September-28-2019-Premier-League,
11,2019-10-06,14:00 ,Premier League,Matchweek 8,Sun,Home,L,0,2,Wolves,1.4,1.0,75,"54,435",David Silva,4-2-3-1,Craig Pawson,https://fbref.com/en/matches/0481092b/Manchester-City-Wolverhampton-Wanderers-October-6-2019-Premier-League,
12,2019-10-19,17:30 ,Premier League,Matchweek 9,Sat,Away,W,2,0,Crystal Palace,3.5,0.9,71,"25,480",David Silva,4-3-3,Anthony Taylor,https://fbref.com/en/matches/f334b1dc/Crystal-Palace-Manchester-City-October-19-2019-Premier-League,
14,2019-10-26,12:30 ,Premier League,Matchweek 10,Sat,Home,W,3,0,Aston Villa,2.9,1.0,63,"54,506",David Silva,4-3-3,Graham Scott,https://fbref.com/en/matches/e0a4db2d/Manchester-City-Aston-Villa-October-26-2019-Premier-League,
16,2019-11-02,15:00 ,Premier League,Matchweek 11,Sat,Home,W,2,1,Southampton,2.9,0.9,75,"53,922",David Silva,4-3-3,Lee Mason,https://fbref.com/en/matches/afbdd3aa/Manchester-City-Southampton-November-2-2019-Premier-League,
18,2019-11-10,16:30 ,Premier League,Matchweek 12,Sun,Away,L,1,3,Liverpool,1.3,1.1,55,"53,324",Fernandinho,4-2-3-1,Michael Oliver,https://fbref.com/en/matches/47880eb7/Liverpool-Manchester-City-November-10-2019-Premier-League,
19,2019-11-23,17:30 ,Premier League,Matchweek 13,Sat,Home,W,2,1,Chelsea,1.0,0.9,47,"54,486",David Silva,4-3-3,Martin Atkinson,https://fbref.com/en/matches/d16305c7/Manchester-City-Chelsea-November-23-2019-Premier-League,
21,2019-11-30,12:30 ,Premier League,Matchweek 14,Sat,Away,D,2,2,Newcastle Utd,2.4,0.3,75,"49,937",David Silva,4-3-3,Chris Kavanagh,https://fbref.com/en/matches/f43fa290/Newcastle-United-Manchester-City-November-30-2019-Premier-League,
22,2019-12-03,20:15 ,Premier League,Matchweek 15,Tue,Away,W,4,1,Burnley,2.2,0.6,75,"20,101",David Silva,4-3-3,Jonathan Moss,https://fbref.com/en/matches/4d718594/Burnley-Manchester-City-December-3-2019-Premier-League,
23,2019-12-07,17:30 ,Premier League,Matchweek 16,Sat,Home,L,1,2,Manchester Utd,2.2,1.4,72,"54,403",David Silva,4-3-3,Anthony Taylor,https://fbref.com/en/matches/bf9c0d50/Manchester-Derby-Manchester-City-Manchester-United-December-7-2019-Premier-League,
25,2019-12-15,16:30 ,Premier League,Matchweek 17,Sun,Away,W,3,0,Arsenal,1.3,0.5,57,"60,031",Fernandinho,4-2-3-1,Paul Tierney,https://fbref.com/en/matches/bed05936/Arsenal-Manchester-City-December-15-2019-Premier-League,
27,2019-12-21,17:30 ,Premier League,Matchweek 18,Sat,Home,W,3,1,Leicester City,3.3,1.1,62,"54,415",Fernandinho,4-2-3-1,Mike Dean,https://fbref.com/en/matches/733c0243/Manchester-City-Leicester-City-December-21-2019-Premier-League,
28,2019-12-27,19:45 ,Premier League,Matchweek 19,Fri,Away,L,2,3,Wolves,1.5,2.6,38,"31,737",Fernandinho,4-2-3-1,Martin Atkinson,https://fbref.com/en/matches/6defd3a2/Wolverhampton-Wanderers-Manchester-City-December-27-2019-Premier-League,
29,2019-12-29,18:00 ,Premier League,Matchweek 20,Sun,Home,W,2,0,Sheffield Utd,1.1,1.1,72,"54,512",Fernandinho,4-3-3,Chris Kavanagh,https://fbref.com/en/matches/aaada016/Manchester-City-Sheffield-United-December-29-2019-Premier-League,
30,2020-01-01,17:30 ,Premier League,Matchweek 21,Wed,Home,W,2,1,Everton,1.5,1.0,65,"54,407",Fernandinho,3-4-3,Andre Marriner,https://fbref.com/en/matches/ed58271e/Manchester-City-Everton-January-1-2020-Premier-League,
33,2020-01-12,16:30 ,Premier League,Matchweek 22,Sun,Away,W,6,1,Aston Villa,2.8,1.1,70,"41,823",David Silva,4-3-3,Jonathan Moss,https://fbref.com/en/matches/ffb4946c/Aston-Villa-Manchester-City-January-12-2020-Premier-League,
34,2020-01-18,15:00 ,Premier League,Matchweek 23,Sat,Home,D,2,2,Crystal Palace,2.6,0.4,72,"54,439",David Silva,4-3-3,Graham Scott,https://fbref.com/en/matches/4572cd0e/Manchester-City-Crystal-Palace-January-18-2020-Premier-League,
35,2020-01-21,19:30 ,Premier League,Matchweek 24,Tue,Away,W,1,0,Sheffield Utd,2.8,0.8,66,"31,285",Fernandinho,3-4-3,Lee Mason,https://fbref.com/en/matches/ae7cb0c2/Sheffield-United-Manchester-City-January-21-2020-Premier-League,
38,2020-02-02,16:30 ,Premier League,Matchweek 25,Sun,Away,L,0,2,Tottenham,2.4,0.3,67,"61,022",Fernandinho,4-3-3,Mike Dean,https://fbref.com/en/matches/e98d8736/Tottenham-Hotspur-Manchester-City-February-2-2020-Premier-League,
39,2020-02-19,19:30 ,Premier League,Matchweek 26,Wed,Home,W,2,0,West Ham,2.1,0.1,77,"52,159",David Silva,4-3-3,Kevin Friend,https://fbref.com/en/matches/bc091e86/Manchester-City-West-Ham-United-February-19-2020-Premier-League,
40,2020-02-22,17:30 ,Premier League,Matchweek 27,Sat,Away,W,1,0,Leicester City,2.4,0.8,67,"32,068",Fernandinho,4-3-3,Paul Tierney,https://fbref.com/en/matches/4f00e03a/Leicester-City-Manchester-City-February-22-2020-Premier-League,
44,2020-03-08,16:30 ,Premier League,Matchweek 29,Sun,Away,L,0,2,Manchester Utd,0.6,1.6,72,"73,288",Fernandinho,4-3-3,Mike Dean,https://fbref.com/en/matches/04416d35/Manchester-Derby-Manchester-United-Manchester-City-March-8-2020-Premier-League,
45,2020-06-17,20:15 ,Premier League,Matchweek 28,Wed,Home,W,3,0,Arsenal,2.6,0.3,67,,David Silva,4-3-3,Anthony Taylor,https://fbref.com/en/matches/5825b217/Manchester-City-Arsenal-June-17-2020-Premier-League,
46,2020-06-22,20:00 ,Premier League,Matchweek 30,Mon,Home,W,5,0,Burnley,2.4,0.0,71,,David Silva,4-3-3,Andre Marriner,https://fbref.com/en/matches/b1d3ebde/Manchester-City-Burnley-June-22-2020-Premier-League,
47,2020-06-25,20:15 ,Premier League,Matchweek 31,Thu,Away,L,1,2,Chelsea,0.8,3.2,65,,Fernandinho,4-3-3,Stuart Attwell,https://fbref.com/en/matches/bc237647/Chelsea-Manchester-City-June-25-2020-Premier-League,
