,num,joueur
0,,Fernando Amorebieta
1,,John Arne Riise
2,,Hugo Rodallega
3,,Brede Hangeland
4,,Scott Parker
5,,Ashkan Dejagah
6,,John Heitinga
7,,William Kvist
8,,Alexander Kačaniklić
9,,
10,,Maarten Stekelenburg
