,num,joueur
0,,Júlio César
1,,Anton Ferdinand
2,,Djibril Cissé
3,,Samba Diakité
4,,Alejandro Faurlín
5,,Adel Taarabt
6,,Junior Hoilett
7,,Esteban Granero
8,,José Bosingwa
9,,Armand Traoré
10,,Ryan Nelsen
