,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
0,Nikola Kalinić,,hr CRO,FW,22-256,64,0,0,0,,,,0,0,,,,,,,0,,
1,Benjani,,zw ZIM,FW,32-036,26,0,0,0,,,,0,0,,,,,,,0,,
2,El Hadji Diouf,,sn SEN,"FW,MF",29-246,90,0,0,0,,,,0,0,,,,,,,0,,
3,Mame Biram Diouf,,sn SEN,"FW,MF",22-276,90,0,0,0,,,,0,0,,,,,,,0,,
4,Morten Gamst Pedersen,,no NOR,"FW,MF",29-010,60,0,0,0,,,,0,0,,,,,,,0,,
5,Brett Emerton,,au AUS,"DF,MF",31-208,30,0,0,0,,,,0,0,,,,,,,0,,
6,Vince Grella,,au AUS,MF,30-348,75,0,0,0,,,,0,0,,,,,,,0,,
7,Steven Nzonzi,,fr FRA,MF,21-277,15,0,0,0,,,,0,0,,,,,,,0,,
8,Phil Jones,,eng ENG,"DF,MF",18-209,90,0,0,0,,,,0,0,,,,,,,0,,
9,Gaël Givet,,fr FRA,DF,28-344,90,0,0,0,,,,0,0,,,,,,,0,,
10,Ryan Nelsen,,nz NZL,DF,32-335,90,0,0,0,,,,0,0,,,,,,,0,,
11,Christopher Samba,,cg CGO,DF,26-174,90,1,0,0,,,,0,0,,,,,,,0,,
12,Míchel Salgado,,es ESP,DF,34-331,90,0,0,0,,,,0,0,,,,,,,0,,
13,Paul Robinson,,eng ENG,GK,30-338,90,0,1,0,,,,0,0,,,,,,,0,,
14,14 Players,,,,,990,1,1,0,,,,0,0,,,,,,,0,,
