,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
0,Robin van Persie,,nl NED,FW,27-268,90,0,1,0,,,,0,0,,,,,,,0,,
1,Samir Nasri,,fr FRA,"FW,MF",23-309,45,0,0,0,,,,0,0,,,,,,,0,,
2,Andrey Arshavin,,ru RUS,"FW,MF",29-337,45,0,0,0,,,,0,0,,,,,,,0,,
3,Theo Walcott,,eng ENG,"FW,MF",22-046,77,0,0,0,,,,0,0,,,,,,,0,,
4,Emmanuel Eboué,,ci CIV,"DF,MF",27-331,13,0,0,0,,,,0,0,,,,,,,0,,
5,Jack Wilshere,,eng ENG,MF,19-120,90,0,0,0,,,,0,0,,,,,,,0,,
6,Alexandre Song,,cm CMR,"DF,MF",23-234,90,0,0,0,,,,1,0,,,,,,,0,,
7,Aaron Ramsey,,wls WAL,MF,20-126,90,1,0,0,,,,1,0,,,,,,,0,,
8,Gaël Clichy,,fr FRA,DF,25-279,90,0,0,0,,,,0,0,,,,,,,0,,
9,Laurent Koscielny,,fr FRA,DF,25-233,90,0,0,0,,,,0,0,,,,,,,0,,
10,Johan Djourou,,ch SUI,DF,24-103,68,0,0,0,,,,0,0,,,,,,,0,,
11,Sébastien Squillaci,,fr FRA,DF,30-263,22,0,0,0,,,,0,0,,,,,,,0,,
12,Bacary Sagna,,fr FRA,DF,28-076,90,0,0,0,,,,0,0,,,,,,,0,,
13,Wojciech Szczęsny,,pl POL,GK,21-013,90,0,0,0,,,,0,0,,,,,,,0,,
14,14 Players,,,,,990,1,1,0,,,,2,0,,,,,,,0,,
