,num,joueur
0,,Allan McGregor
1,,Maynor Figueroa
2,,Jake Livermore
3,,James Chester
4,,David Meyler
5,,Danny Graham
6,,Ahmed Elmohamady
7,,Curtis Davies
8,,Tom Huddlestone
9,,Alex Bruce
10,,Yannick Sagbo
