,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
2,2015-08-09,13:30 ,Premier League,Matchweek 1,Sun,Away,D,2,2,Newcastle Utd,44,"49,019",José Fonte,4-2-3-1,Craig Pawson,https://fbref.com/en/matches/46264921/Newcastle-United-Southampton-August-9-2015-Premier-League,
3,2015-08-15,12:45 ,Premier League,Matchweek 2,Sat,Home,L,0,3,Everton,54,"30,966",José Fonte,4-2-3-1,Michael Oliver,https://fbref.com/en/matches/ebdb5a64/Southampton-Everton-August-15-2015-Premier-League,
5,2015-08-23,16:00 ,Premier League,Matchweek 3,Sun,Away,D,0,0,Watford,48,"20,166",José Fonte,3-4-1-2,Andre Marriner,https://fbref.com/en/matches/1de110b6/Watford-Southampton-August-23-2015-Premier-League,
7,2015-08-30,13:30 ,Premier League,Matchweek 4,Sun,Home,W,3,0,Norwich City,61,"29,573",José Fonte,4-2-3-1,Jonathan Moss,https://fbref.com/en/matches/8049f81a/Southampton-Norwich-City-August-30-2015-Premier-League,
8,2015-09-12,15:00 ,Premier League,Matchweek 5,Sat,Away,D,0,0,West Brom,65,"24,265",José Fonte,4-1-4-1,Stuart Attwell,https://fbref.com/en/matches/9954343e/West-Bromwich-Albion-Southampton-September-12-2015-Premier-League,
9,2015-09-20,16:00 ,Premier League,Matchweek 6,Sun,Home,L,2,3,Manchester Utd,41,"31,588",José Fonte,4-2-3-1,Mark Clattenburg,https://fbref.com/en/matches/3d27d330/Southampton-Manchester-United-September-20-2015-Premier-League,
11,2015-09-26,15:00 ,Premier League,Matchweek 7,Sat,Home,W,3,1,Swansea City,42,"30,704",José Fonte,4-2-3-1,Roger East,https://fbref.com/en/matches/75a340da/Southampton-Swansea-City-September-26-2015-Premier-League,
12,2015-10-03,17:30 ,Premier League,Matchweek 8,Sat,Away,W,3,1,Chelsea,40,"41,642",José Fonte,4-2-3-1,Robert Madley,https://fbref.com/en/matches/f45c1a62/Chelsea-Southampton-October-3-2015-Premier-League,
13,2015-10-17,15:00 ,Premier League,Matchweek 9,Sat,Home,D,2,2,Leicester City,51,"30,966",José Fonte,4-1-4-1,Paul Tierney,https://fbref.com/en/matches/2110819e/Southampton-Leicester-City-October-17-2015-Premier-League,
14,2015-10-25,16:15 ,Premier League,Matchweek 10,Sun,Away,D,1,1,Liverpool,40,"44,171",José Fonte,4-2-3-1,Andre Marriner,https://fbref.com/en/matches/891e8856/Liverpool-Southampton-October-25-2015-Premier-League,
