,num,joueur
0,,Pepe Reina
1,,Jay Spearing
2,,Martin Škrtel
3,,Martin Kelly
4,,José Enrique
5,,Dirk Kuyt
6,,Stewart Downing
7,,Charlie Adam
8,,Luis Suárez
9,,Jordan Henderson
10,,Jamie Carragher
