,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Shot Stopping,Shot Stopping,Shot Stopping,Shot Stopping
,Player,Nation,Age,Min,SoTA,GA,Saves,Save%
0,Wojciech Szczęsny,pl POL,20-279,90,,0,,
