,num,joueur
0,,Stephen Carr
1,,Martin Jiránek
2,,Jean Beausejour
3,,Liam Ridgewell
4,,Cameron Jerome
5,,Barry Ferguson
6,,Jordon Mutch
7,,Craig Gardner
8,,Sebastian Larsson
9,,
10,,Colin Doyle
