,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes
,Player,#,Nation,Pos,Age,Min,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
0,Joelinton,7.0,br BRA,FW,25-120,90,42,40,2,0,0,0,1,2,0,0,0,0,40,0,0
1,Callum Wilson,9.0,eng ENG,FW,29-288,90,11,8,3,0,0,0,1,1,0,0,0,0,7,0,0
2,Allan Saint-Maximin,10.0,fr FRA,LM,24-275,90,30,30,0,0,0,2,1,0,0,0,0,0,25,0,1
3,Joe Willock,28.0,eng ENG,CM,22-114,90,41,40,1,1,1,0,3,0,0,0,0,0,31,0,1
4,Jonjo Shelvey,8.0,eng ENG,CM,29-288,84,67,57,10,4,0,4,5,0,4,3,1,0,51,0,2
5,Matt Ritchie,11.0,sct SCO,LB,32-093,6,12,12,0,0,0,1,2,0,0,0,0,0,10,0,0
6,Miguel Almirón,24.0,py PAR,RM,27-305,61,16,16,0,0,0,0,0,0,0,0,0,0,12,0,1
7,Ryan Fraser,21.0,sct SCO,"LB,RM",27-291,29,23,18,5,1,0,0,5,1,2,0,2,0,20,0,0
8,Jamal Lewis,12.0,nir NIR,LB,23-321,61,29,25,4,0,0,0,1,4,0,0,0,0,26,0,0
9,Jacob Murphy,23.0,eng ENG,"RM,CM",26-291,29,16,16,0,0,0,0,3,0,0,0,0,0,10,0,1
10,Jamaal Lascelles,6.0,eng ENG,CB,28-031,90,40,39,0,0,0,0,0,0,0,0,0,0,33,1,0
11,Fabian Schär,5.0,ch SUI,CB,29-357,90,73,66,7,3,0,2,0,4,0,0,0,0,50,0,0
12,Javier Manquillo,19.0,es ESP,RB,27-221,90,45,38,7,0,0,0,1,7,0,0,0,0,35,0,1
13,Martin Dúbravka,1.0,sk SVK,GK,32-331,90,32,23,9,0,0,0,0,0,0,0,0,0,22,0,0
14,14 Players,,,,,990,477,428,48,9,1,9,23,19,6,3,3,0,372,1,7
