,num,joueur
0,,Sebastian Larsson
1,,Jozy Altidore
2,,John O'Shea
3,,Lee Cattermole
4,,Ondřej Čelůstka
5,,Ki Sung-yueng
6,,Emanuele Giaccherini
7,,Phil Bardsley
8,,Wes Brown
9,,
10,,Jordan Pickford
