,num,joueur
0,29,Nick Pope
1,3,Charlie Taylor
2,4,Jack Cork
3,5,James Tarkowski
4,6,Ben Mee
5,10,Ashley Barnes
6,13,Jeff Hendrick
7,16,Steven Defour
8,17,Jóhann Berg Guðmundsson
9,26,Phil Bardsley
10,37,Scott Arfield
