,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
0,2020-09-12,15:00 ,Premier League,Matchweek 1,Sat,Away,L,0,1,Crystal Palace,0.9,1.1,69,,James Ward-Prowse,4-4-2,Jonathan Moss,https://fbref.com/en/matches/db261cb0/Crystal-Palace-Southampton-September-12-2020-Premier-League,
2,2020-09-20,12:00 ,Premier League,Matchweek 2,Sun,Home,L,2,5,Tottenham,2.0,2.1,51,,James Ward-Prowse,4-4-2,David Coote,https://fbref.com/en/matches/967efd56/Southampton-Tottenham-Hotspur-September-20-2020-Premier-League,
3,2020-09-26,20:00 ,Premier League,Matchweek 3,Sat,Away,W,1,0,Burnley,0.6,0.5,47,,James Ward-Prowse,4-4-2,Andre Marriner,https://fbref.com/en/matches/ae113c54/Burnley-Southampton-September-26-2020-Premier-League,
4,2020-10-04,12:00 ,Premier League,Matchweek 4,Sun,Home,W,2,0,West Brom,1.2,0.2,62,,James Ward-Prowse,4-4-2,Chris Kavanagh,https://fbref.com/en/matches/39864083/Southampton-West-Bromwich-Albion-October-4-2020-Premier-League,
5,2020-10-17,15:00 ,Premier League,Matchweek 5,Sat,Away,D,3,3,Chelsea,1.9,1.8,47,,James Ward-Prowse,4-4-2,Peter Bankes,https://fbref.com/en/matches/9bd558f5/Chelsea-Southampton-October-17-2020-Premier-League,
6,2020-10-25,14:00 ,Premier League,Matchweek 6,Sun,Home,W,2,0,Everton,0.7,0.4,54,,James Ward-Prowse,4-4-2,Kevin Friend,https://fbref.com/en/matches/6439c025/Southampton-Everton-October-25-2020-Premier-League,
7,2020-11-01,12:00 ,Premier League,Matchweek 7,Sun,Away,W,4,3,Aston Villa,0.7,1.9,44,,James Ward-Prowse,4-4-2,Darren England,https://fbref.com/en/matches/235264ac/Aston-Villa-Southampton-November-1-2020-Premier-League,
8,2020-11-06,20:00 ,Premier League,Matchweek 8,Fri,Home,W,2,0,Newcastle Utd,0.7,0.3,61,,James Ward-Prowse,4-4-2,Peter Bankes,https://fbref.com/en/matches/4117b695/Southampton-Newcastle-United-November-6-2020-Premier-League,
9,2020-11-23,20:00 ,Premier League,Matchweek 9,Mon,Away,D,1,1,Wolves,1.0,1.5,54,,James Ward-Prowse,4-4-2,Andre Marriner,https://fbref.com/en/matches/e5bfd125/Wolverhampton-Wanderers-Southampton-November-23-2020-Premier-League,
10,2020-11-29,14:00 ,Premier League,Matchweek 10,Sun,Home,L,2,3,Manchester Utd,0.5,2.1,50,,James Ward-Prowse,4-4-2,Jonathan Moss,https://fbref.com/en/matches/e0a84e7e/Southampton-Manchester-United-November-29-2020-Premier-League,
11,2020-12-07,20:00 ,Premier League,Matchweek 11,Mon,Away,W,2,1,Brighton,1.4,1.9,52,"2,000",James Ward-Prowse,4-4-2,David Coote,https://fbref.com/en/matches/32356abc/Brighton-and-Hove-Albion-Southampton-December-7-2020-Premier-League,
12,2020-12-13,12:00 ,Premier League,Matchweek 12,Sun,Home,W,3,0,Sheffield Utd,2.0,0.3,67,"2,000",James Ward-Prowse,4-4-2,Andy Madley,https://fbref.com/en/matches/9bec56c6/Southampton-Sheffield-United-December-13-2020-Premier-League,
13,2020-12-16,18:00 ,Premier League,Matchweek 13,Wed,Away,D,1,1,Arsenal,1.2,0.6,64,,James Ward-Prowse,4-4-2,Paul Tierney,https://fbref.com/en/matches/0ceceee4/Arsenal-Southampton-December-16-2020-Premier-League,
14,2020-12-19,15:00 ,Premier League,Matchweek 14,Sat,Home,L,0,1,Manchester City,0.7,0.9,48,,James Ward-Prowse,4-4-2,Mike Dean,https://fbref.com/en/matches/8d4a02ae/Southampton-Manchester-City-December-19-2020-Premier-League,
15,2020-12-26,15:00 ,Premier League,Matchweek 15,Sat,Away,D,0,0,Fulham,0.2,0.7,53,,James Ward-Prowse,4-4-2,Darren England,https://fbref.com/en/matches/cf86c208/Fulham-Southampton-December-26-2020-Premier-League,
16,2020-12-29,18:00 ,Premier League,Matchweek 16,Tue,Home,D,0,0,West Ham,0.6,1.2,62,,James Ward-Prowse,4-4-2,Andy Madley,https://fbref.com/en/matches/7577b54b/Southampton-West-Ham-United-December-29-2020-Premier-League,
