,num,joueur
0,1,Kepa Arrizabalaga
1,2,Antonio Rüdiger
2,3,Marcos Alonso
3,5,Jorginho
4,7,N'Golo Kanté
5,8,Ross Barkley
6,10,Eden Hazard
7,22,Willian
8,28,César Azpilicueta
9,29,Álvaro Morata
10,30,David Luiz
