,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
0,Didier Drogba,,ci CIV,FW,32-233,90,0,1,0,,,,1,0,,,,,,,0,,
1,Florent Malouda,,fr FRA,"FW,MF",30-139,71,0,0,0,,,,0,0,,,,,,,0,,
2,Daniel Sturridge,,eng ENG,"FW,MF",21-059,19,0,0,0,,,,0,0,,,,,,,0,,
3,Nicolas Anelka,,fr FRA,FW,31-230,89,1,0,0,,,,0,0,,,,,,,0,,
4,Paulo Ferreira,,pt POR,DF,31-285,1,0,0,0,,,,0,0,,,,,,,0,,
5,Yuri Zhirkov,,ru RUS,"DF,MF",27-071,90,0,1,0,,,,0,0,,,,,,,0,,
6,John Obi Mikel,,ng NGA,MF,23-191,90,0,0,0,,,,0,0,,,,,,,0,,
7,Michael Essien,,gh GHA,"DF,MF",27-331,90,0,0,0,,,,0,0,,,,,,,0,,
8,Ashley Cole,,eng ENG,DF,29-314,90,0,0,0,,,,0,0,,,,,,,0,,
9,John Terry,,eng ENG,DF,29-327,90,0,0,0,,,,0,0,,,,,,,0,,
10,Alex,,br BRA,DF,28-135,90,0,0,0,,,,0,0,,,,,,,0,,
11,Branislav Ivanović,,rs SRB,DF,26-250,90,1,0,0,,,,1,0,,,,,,,0,,
12,Petr Čech,,cz CZE,GK,28-163,90,0,0,0,,,,0,0,,,,,,,0,,
13,13 Players,,,,,990,2,2,0,,,,2,0,,,,,,,0,,
