,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
0,Benjani,,zw ZIM,FW,32-078,45,1,0,0,,,,0,0,,,,,,,0,,
1,Jason Roberts,,gd GRN,FW,32-278,45,0,0,0,,,,0,0,,,,,,,0,,
2,El Hadji Diouf,,sn SEN,"FW,MF",29-288,79,0,1,0,,,,0,0,,,,,,,0,,
3,David Dunn,,eng ENG,MF,30-307,11,0,0,0,,,,0,0,,,,,,,0,,
4,Morten Gamst Pedersen,,no NOR,"FW,MF",29-052,90,0,0,0,,,,0,0,,,,,,,0,,
5,Brett Emerton,,au AUS,"DF,MF",31-250,90,0,0,0,,,,0,0,,,,,,,0,,
6,Mame Biram Diouf,,sn SEN,"FW,MF",22-318,90,0,0,0,,,,0,0,,,,,,,0,,
7,Phil Jones,,eng ENG,"DF,MF",18-251,90,0,0,0,,,,0,0,,,,,,,0,,
8,Gaël Givet,,fr FRA,DF,29-021,33,0,0,0,,,,0,0,,,,,,,0,,
9,Martin Olsson,,se SWE,"DF,MF",22-166,57,0,0,0,,,,0,0,,,,,,,0,,
10,Ryan Nelsen,,nz NZL,DF,33-012,90,0,0,0,,,,1,0,,,,,,,0,,
11,Christopher Samba,,cg CGO,DF,26-216,90,0,0,0,,,,0,0,,,,,,,0,,
12,Míchel Salgado,,es ESP,DF,35-008,90,0,0,0,,,,1,0,,,,,,,0,,
13,Paul Robinson,,eng ENG,GK,31-015,90,0,0,0,,,,0,0,,,,,,,0,,
14,14 Players,,,,,990,1,1,0,,,,2,0,,,,,,,0,,
