,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
0,Robin van Persie,,nl NED,FW,28-049,84,2,0,0,,,,0,0,,,,,,,0,,
1,Marouane Chamakh,,ma MAR,FW,27-257,6,0,0,0,,,,0,0,,,,,,,0,,
2,Gervinho,,ci CIV,"FW,MF",24-120,77,0,0,0,,,,0,0,,,,,,,0,,
3,Andrey Arshavin,,ru RUS,"FW,MF",30-118,13,0,0,0,,,,0,0,,,,,,,0,,
4,Theo Walcott,,eng ENG,"FW,MF",22-192,90,0,1,0,,,,0,0,,,,,,,0,,
5,Aaron Ramsey,,wls WAL,MF,20-272,90,0,2,0,,,,0,0,,,,,,,0,,
6,Mikel Arteta,,es ESP,MF,29-182,80,0,0,0,,,,0,0,,,,,,,0,,
7,Tomáš Rosický,,cz CZE,MF,30-355,10,0,0,0,,,,0,0,,,,,,,0,,
8,Alexandre Song,,cm CMR,"DF,MF",24-015,90,1,0,0,,,,0,0,,,,,,,0,,
9,Kieran Gibbs,,eng ENG,"DF,MF",21-363,90,0,0,0,,,,0,0,,,,,,,0,,
10,Laurent Koscielny,,fr FRA,DF,26-014,90,0,0,0,,,,0,0,,,,,,,0,,
11,Per Mertesacker,,de GER,DF,26-360,90,0,0,0,,,,0,0,,,,,,,0,,
12,Bacary Sagna,,fr FRA,DF,28-222,90,0,0,0,,,,0,0,,,,,,,0,,
13,Wojciech Szczęsny,,pl POL,GK,21-159,90,0,0,0,,,,0,0,,,,,,,0,,
14,14 Players,,,,,990,3,3,0,,,,0,0,,,,,,,0,,
