,num,joueur
0,,David Marshall
1,,Andrew Taylor
2,,Peter Whittingham
3,,Aron Gunnarsson
4,,Craig Bellamy
5,,Ben Turner
6,,Kévin Théophile-Catherine
7,,Kim Bo-kyung
8,,Gary Medel
9,,Steven Caulker
10,,Fraizer Campbell
