,num,joueur
0,,Dean Moxey
1,,Joel Ward
2,,Adrian Mariappa
3,,Mile Jedinak
4,,Danny Gabbidon
5,,Barry Bannan
6,,Dwight Gayle
7,,Jimmy Kébé
8,,Kagisho Dikgacoi
9,,
10,,Lewis Price
