,team,matchweek,Match Report
0,Arsenal-Stats,Matchweek 1,https://fbref.com/en/matches/4d2dd8b3/Liverpool-Arsenal-August-15-2010-Premier-League
1,Arsenal-Stats,Matchweek 2,https://fbref.com/en/matches/9e517d4d/Arsenal-Blackpool-August-21-2010-Premier-League
2,Arsenal-Stats,Matchweek 3,https://fbref.com/en/matches/2b39e7c0/Blackburn-Rovers-Arsenal-August-28-2010-Premier-League
3,Arsenal-Stats,Matchweek 4,https://fbref.com/en/matches/8e9a6c63/Arsenal-Bolton-Wanderers-September-11-2010-Premier-League
4,Arsenal-Stats,Matchweek 5,https://fbref.com/en/matches/66b3fe8e/Sunderland-Arsenal-September-18-2010-Premier-League
5,Arsenal-Stats,Matchweek 6,https://fbref.com/en/matches/2b9dadaa/Arsenal-West-Bromwich-Albion-September-25-2010-Premier-League
6,Arsenal-Stats,Matchweek 7,https://fbref.com/en/matches/a10d839a/North-West-London-Derby-Chelsea-Arsenal-October-3-2010-Premier-League
7,Arsenal-Stats,Matchweek 8,https://fbref.com/en/matches/44dd7154/Arsenal-Birmingham-City-October-16-2010-Premier-League
8,Arsenal-Stats,Matchweek 9,https://fbref.com/en/matches/06943b36/Manchester-City-Arsenal-October-24-2010-Premier-League
9,Arsenal-Stats,Matchweek 10,https://fbref.com/en/matches/2dc0c516/Arsenal-West-Ham-United-October-30-2010-Premier-League
10,Arsenal-Stats,Matchweek 11,https://fbref.com/en/matches/6be52566/Arsenal-Newcastle-United-November-7-2010-Premier-League
11,Arsenal-Stats,Matchweek 12,https://fbref.com/en/matches/3a012bee/Wolverhampton-Wanderers-Arsenal-November-10-2010-Premier-League
12,Arsenal-Stats,Matchweek 13,https://fbref.com/en/matches/0591f4f8/Everton-Arsenal-November-14-2010-Premier-League
13,Arsenal-Stats,Matchweek 14,https://fbref.com/en/matches/31f99ac9/North-London-Derby-Arsenal-Tottenham-Hotspur-November-20-2010-Premier-League
14,Arsenal-Stats,Matchweek 15,https://fbref.com/en/matches/7725ae9c/Aston-Villa-Arsenal-November-27-2010-Premier-League
15,Arsenal-Stats,Matchweek 16,https://fbref.com/en/matches/26d9e271/Arsenal-Fulham-December-4-2010-Premier-League
16,Arsenal-Stats,Matchweek 17,https://fbref.com/en/matches/78092d33/Manchester-United-Arsenal-December-13-2010-Premier-League
17,Arsenal-Stats,Matchweek 19,https://fbref.com/en/matches/7ea4411c/North-West-London-Derby-Arsenal-Chelsea-December-27-2010-Premier-League
18,Arsenal-Stats,Matchweek 20,https://fbref.com/en/matches/b76f5ba9/Wigan-Athletic-Arsenal-December-29-2010-Premier-League
19,Arsenal-Stats,Matchweek 21,https://fbref.com/en/matches/a1ccba64/Birmingham-City-Arsenal-January-1-2011-Premier-League
20,Arsenal-Stats,Matchweek 22,https://fbref.com/en/matches/3a674ddf/Arsenal-Manchester-City-January-5-2011-Premier-League
21,Arsenal-Stats,Matchweek 23,https://fbref.com/en/matches/c2243907/West-Ham-United-Arsenal-January-15-2011-Premier-League
22,Arsenal-Stats,Matchweek 24,https://fbref.com/en/matches/6f4e653f/Arsenal-Wigan-Athletic-January-22-2011-Premier-League
23,Arsenal-Stats,Matchweek 25,https://fbref.com/en/matches/b7ac499d/Arsenal-Everton-February-1-2011-Premier-League
24,Arsenal-Stats,Matchweek 26,https://fbref.com/en/matches/23936f84/Newcastle-United-Arsenal-February-5-2011-Premier-League
25,Arsenal-Stats,Matchweek 27,https://fbref.com/en/matches/2752e561/Arsenal-Wolverhampton-Wanderers-February-12-2011-Premier-League
26,Arsenal-Stats,Matchweek 18,https://fbref.com/en/matches/ce25ca45/Arsenal-Stoke-City-February-23-2011-Premier-League
27,Arsenal-Stats,Matchweek 29,https://fbref.com/en/matches/3410293d/Arsenal-Sunderland-March-5-2011-Premier-League
