,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
0,Kevin Phillips,,eng ENG,FW,37-265,62,0,0,0,,,,0,0,,,,,,,0,,
1,Alexander Hleb,,by BLR,MF,29-350,28,0,1,0,,,,0,0,,,,,,,0,,
2,Cameron Jerome,,eng ENG,FW,24-245,89,0,1,0,,,,0,0,,,,,,,0,,
3,Matt Derbyshire,,eng ENG,FW,25-002,1,0,0,0,,,,0,0,,,,,,,0,,
4,Lee Bowyer,,eng ENG,MF,34-103,90,0,0,0,,,,0,0,,,,,,,0,,
5,Barry Ferguson,,sct SCO,MF,33-073,90,0,0,0,,,,0,0,,,,,,,0,,
6,Craig Gardner,,eng ENG,MF,24-142,90,1,0,0,,,,0,0,,,,,,,0,,
7,Sebastian Larsson,,se SWE,MF,25-314,87,1,0,0,,,,0,0,,,,,,,0,,
8,Keith Fahey,,ie IRL,MF,28-091,3,0,0,0,,,,0,0,,,,,,,0,,
9,Stuart Parnaby,,eng ENG,DF,28-271,90,0,0,0,,,,0,0,,,,,,,0,,
10,Liam Ridgewell,,eng ENG,DF,26-269,90,0,0,0,,,,0,0,,,,,,,0,,
11,Roger Johnson,,eng ENG,DF,27-353,90,0,0,0,,,,0,0,,,,,,,0,,
12,Stephen Carr,,ie IRL,DF,34-230,90,0,0,0,,,,0,0,,,,,,,0,,
13,Ben Foster,,eng ENG,GK,28-013,90,0,0,0,,,,0,0,,,,,,,0,,
14,14 Players,,,,,990,2,2,0,,,,0,0,,,,,,,0,,
