,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
0,Asamoah Gyan,,gh GHA,FW,25-145,90,0,0,0,,,,0,0,,,,,,,0,,
1,Danny Welbeck,,eng ENG,"FW,MF",20-141,69,0,0,0,,,,0,0,,,,,,,0,,
2,Ryan Noble,,eng ENG,FW,19-309,21,0,0,0,,,,0,0,,,,,,,0,,
3,Stéphane Sessègnon,,bj BEN,"FW,MF",26-319,90,0,0,0,,,,0,0,,,,,,,0,,
4,Jack Colback,,eng ENG,"DF,MF",21-174,75,0,0,0,,,,0,0,,,,,,,0,,
5,Steed Malbranque,,fr FRA,MF,31-100,15,0,0,0,,,,0,0,,,,,,,0,,
6,Lee Cattermole,,eng ENG,MF,23-026,90,0,0,0,,,,0,0,,,,,,,0,,
7,Jordan Henderson,,eng ENG,MF,20-303,90,0,0,0,,,,0,0,,,,,,,0,,
8,Phil Bardsley,,sct SCO,DF,25-292,90,0,0,0,,,,0,0,,,,,,,0,,
9,Nedum Onuoha,,eng ENG,DF,24-155,90,0,0,0,,,,0,0,,,,,,,0,,
10,Michael Turner,,eng ENG,DF,27-158,90,0,0,0,,,,0,0,,,,,,,0,,
11,Ahmed Elmohamady,,eg EGY,"DF,MF",23-219,90,0,0,0,,,,0,0,,,,,,,0,,
12,Simon Mignolet,,be BEL,GK,23-041,90,0,0,0,,,,0,0,,,,,,,0,,
13,13 Players,,,,,990,0,0,0,,,,0,0,,,,,,,0,,
