,num,joueur
0,,Hal Robson-Kanu
1,,Adam le Fondre
2,,Kaspars Gorkšs
3,,Nicky Shorey
4,,Jay Tabb
5,,Jason Roberts
6,,Mikele Leigertwood
7,,Chris Gunter
8,,Sean Morrison
9,,
10,,Stuart Taylor
