,num,joueur
0,14,Pierre-Emerick Aubameyang
1,16,Rob Holding
2,17,Alex Iwobi
3,18,Nacho Monreal
4,20,Shkodran Mustafi
5,21,Calum Chambers
6,29,Granit Xhaka
7,35,Mohamed Elneny
8,69,Joe Willock
9,,
10,13,David Ospina
