,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
0,John Carew,,no NOR,FW,31-041,73,0,0,0,,,,0,0,,,,,,,0,,
1,Nathan Delfouneso,,eng ENG,"FW,MF",19-256,17,0,0,0,,,,0,0,,,,,,,0,,
2,Ashley Young,,eng ENG,"DF,FW",25-099,90,0,0,0,,,,1,0,,,,,,,0,,
3,Stewart Downing,,eng ENG,"FW,MF",26-086,90,0,0,0,,,,0,0,,,,,,,0,,
4,Stiliyan Petrov,,bg BUL,MF,31-103,90,0,0,0,,,,0,0,,,,,,,0,,
5,Stephen Ireland,,ie IRL,MF,24-055,83,0,0,0,,,,1,0,,,,,,,0,,
6,Steve Sidwell,,eng ENG,MF,27-306,7,0,0,0,,,,0,0,,,,,,,0,,
7,Nigel Reo-Coker,,eng ENG,MF,26-155,90,0,0,0,,,,0,0,,,,,,,0,,
8,Stephen Warnock,,eng ENG,DF,28-308,90,0,0,0,,,,1,0,,,,,,,0,,
9,Richard Dunne,,ie IRL,DF,31-025,12,0,0,0,,,,0,0,,,,,,,0,,
10,Ciaran Clark,,ie IRL,"DF,MF",21-020,78,0,0,0,,,,1,0,,,,,,,0,,
11,James Collins,,wls WAL,DF,27-054,90,0,0,0,,,,0,0,,,,,,,0,,
12,Habib Beye,,sn SEN,DF,32-362,90,0,0,0,,,,0,0,,,,,,,0,,
13,Brad Friedel,,us USA,GK,39-151,90,0,0,0,,,,0,0,,,,,,,0,,
14,14 Players,,,,,990,0,0,0,,,,4,0,,,,,,,0,,
