,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
1,2017-08-13,16:00 ,Premier League,Matchweek 1,Sun,Home,W,4,0,West Ham,2.1,0.5,55,"74,928",Antonio Valencia,4-2-3-1,Martin Atkinson,https://fbref.com/en/matches/f5d1f6f4/Manchester-United-West-Ham-United-August-13-2017-Premier-League,
2,2017-08-19,12:30 ,Premier League,Matchweek 2,Sat,Away,W,4,0,Swansea City,3.0,0.4,58,"20,862",Antonio Valencia,4-2-3-1,Jonathan Moss,https://fbref.com/en/matches/9c09e079/Swansea-City-Manchester-United-August-19-2017-Premier-League,
3,2017-08-26,17:30 ,Premier League,Matchweek 3,Sat,Home,W,2,0,Leicester City,2.8,0.9,69,"75,021",Antonio Valencia,4-2-3-1,Michael Oliver,https://fbref.com/en/matches/b841af28/Manchester-United-Leicester-City-August-26-2017-Premier-League,
4,2017-09-09,17:30 ,Premier League,Matchweek 4,Sat,Away,D,2,2,Stoke City,2.1,1.2,63,"29,320",Antonio Valencia,4-3-3,Niel Swarbrick,https://fbref.com/en/matches/06ec2f77/Stoke-City-Manchester-United-September-9-2017-Premier-League,
6,2017-09-17,16:00 ,Premier League,Matchweek 5,Sun,Home,W,4,0,Everton,2.9,1.1,49,"75,042",Antonio Valencia,4-2-3-1,Andre Marriner,https://fbref.com/en/matches/94bab527/Manchester-United-Everton-September-17-2017-Premier-League,
8,2017-09-23,15:00 ,Premier League,Matchweek 6,Sat,Away,W,1,0,Southampton,1.2,1.0,40,"31,930",Antonio Valencia,4-2-3-1,Craig Pawson,https://fbref.com/en/matches/3af86414/Southampton-Manchester-United-September-23-2017-Premier-League,
10,2017-09-30,15:00 ,Premier League,Matchweek 7,Sat,Home,W,4,0,Crystal Palace,2.8,0.4,59,"75,118",David de Gea,4-2-3-1,Mike Dean,https://fbref.com/en/matches/a720cc9e/Manchester-United-Crystal-Palace-September-30-2017-Premier-League,
11,2017-10-14,12:30 ,Premier League,Matchweek 8,Sat,Away,D,0,0,Liverpool,0.2,1.5,38,"52,912",Antonio Valencia,4-2-3-1,Martin Atkinson,https://fbref.com/en/matches/d7dce737/North-West-Derby-Liverpool-Manchester-United-October-14-2017-Premier-League,
13,2017-10-21,15:00 ,Premier League,Matchweek 9,Sat,Away,L,1,2,Huddersfield,0.8,1.2,77,"24,426",Antonio Valencia,4-2-3-1,Lee Mason,https://fbref.com/en/matches/155ed776/Huddersfield-Town-Manchester-United-October-21-2017-Premier-League,
15,2017-10-28,12:30 ,Premier League,Matchweek 10,Sat,Home,W,1,0,Tottenham,0.8,1.2,45,"75,034",Antonio Valencia,3-4-1-2,Jonathan Moss,https://fbref.com/en/matches/11f75bcb/Manchester-United-Tottenham-Hotspur-October-28-2017-Premier-League,
