,num,joueur
0,,Júlio César
1,,Christopher Samba
2,,Jamie Mackie
3,,Stéphane Mbia
4,,Clint Hill
5,,Bobby Zamora
6,,Adel Taarabt
7,,Esteban Granero
8,,José Bosingwa
9,,Armand Traoré
10,,Andros Townsend
