,num,joueur
0,,Yoan Gouffran
1,,Mike Williamson
2,,Mathieu Debuchy
3,,Fabricio Coloccini
4,,Loïc Rémy
5,,Paul Dummett
6,,Vurnon Anita
7,,Moussa Sissoko
8,,Dan Gosling
9,,
10,,Rob Elliot
