,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 20_level_0,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0,Unnamed: 26_level_0,Unnamed: 27_level_0
,Player,#,Nation,Pos,Age,Min,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP
0,Aleksandar Mitrović,9.0,rs SRB,FW,27-352,90,6,12,50.0,75,24,4,5,80.0,2,4,50.0,0,1,0.0,0,0.1,0.0,1,0,0,0,1
1,Neeskens Kebano,7.0,cd COD,LW,30-177,59,13,17,76.5,159,34,8,8,100.0,3,4,75.0,0,0,,0,0.0,0.0,1,0,0,0,1
2,Willian,20.0,br BRA,"LW,LM",34-025,31,10,12,83.3,192,18,5,6,83.3,3,3,100.0,2,2,100.0,0,0.0,0.0,0,0,0,0,1
3,Bobby Reid,14.0,jm JAM,RW,29-213,59,12,14,85.7,158,19,7,9,77.8,5,5,100.0,0,0,,0,0.0,0.0,0,0,0,0,0
4,Daniel James,21.0,wls WAL,"RW,RM",24-297,31,7,10,70.0,89,12,5,6,83.3,2,3,66.7,0,1,0.0,0,0.0,0.0,1,0,1,0,1
5,Andreas Pereira,18.0,br BRA,AM,26-245,60,21,29,72.4,363,94,10,10,100.0,10,13,76.9,1,6,16.7,0,0.0,0.0,0,7,0,0,7
6,Tom Cairney,10.0,sct SCO,"AM,CM",31-226,30,21,24,87.5,366,45,7,7,100.0,12,12,100.0,1,4,25.0,0,0.0,0.0,1,2,0,0,3
7,João Palhinha,26.0,pt POR,DM,27-056,84,40,40,100.0,775,147,15,15,100.0,18,18,100.0,6,6,100.0,0,0.0,0.0,0,5,0,0,3
8,Carlos Vinícius,30.0,br BRA,FW,27-162,6,1,1,100.0,3,0,0,0,,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0
9,Harrison Reed,6.0,eng ENG,"DM,CM",27-219,90,29,34,85.3,433,86,18,20,90.0,8,10,80.0,2,2,100.0,0,0.1,0.0,1,1,0,0,3
10,Antonee Robinson,33.0,us USA,LB,25-026,28,12,18,66.7,142,43,9,10,90.0,2,5,40.0,0,0,,0,0.0,0.0,0,2,0,0,1
11,Kevin Mbabu,27.0,ch SUI,LB,27-137,62,42,55,76.4,593,141,27,28,96.4,14,17,82.4,1,5,20.0,0,0.0,0.0,0,2,0,0,2
12,Tim Ream,13.0,us USA,CB,34-333,90,63,71,88.7,1282,423,12,15,80.0,47,48,97.9,4,7,57.1,0,0.0,0.0,0,8,0,0,8
13,Tosin Adarabioyo,4.0,eng ENG,CB,24-344,90,65,74,87.8,1404,486,12,13,92.3,43,47,91.5,10,13,76.9,0,0.0,0.0,0,6,0,0,10
14,Kenny Tete,2.0,nl NED,RB,26-329,90,38,48,79.2,742,287,16,16,100.0,17,22,77.3,5,8,62.5,1,0.1,0.1,2,7,1,1,6
15,Bernd Leno,17.0,de GER,GK,30-183,90,21,29,72.4,521,360,8,8,100.0,8,8,100.0,5,13,38.5,0,0.0,0.0,0,1,0,0,0
16,16 Players,,,,,990,401,488,82.2,7297,2219,163,176,92.6,194,219,88.6,37,68,54.4,1,0.4,0.2,7,41,2,1,47
