,num,joueur
0,,Yohan Cabaye
1,,Yoan Gouffran
2,,Steven Taylor
3,,Davide Santon
4,,Jonás Gutiérrez
5,,Fabricio Coloccini
6,,Papiss Cissé
7,,Moussa Sissoko
8,,Mathieu Debuchy
9,,
10,,Steve Harper
