,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
0,Robin van Persie,,nl NED,FW,27-022,33,0,1,0,,,,0,0,,,,,,,0,,
1,Marouane Chamakh,,ma MAR,FW,26-230,57,0,0,0,,,,0,0,,,,,,,0,,
2,Andrey Arshavin,,ru RUS,"FW,MF",29-091,82,1,0,0,,,,0,0,,,,,,,0,,
3,Jack Wilshere,,eng ENG,MF,18-239,8,0,0,0,,,,0,0,,,,,,,0,,
4,Theo Walcott,,eng ENG,"FW,MF",21-165,90,1,1,0,,,,0,0,,,,,,,0,,
5,Cesc Fàbregas,,es ESP,"FW,MF",23-116,67,0,0,0,,,,0,0,,,,,,,0,,
6,Tomáš Rosický,,cz CZE,MF,29-328,23,0,0,0,,,,0,0,,,,,,,0,,
7,Abou Diaby,,fr FRA,MF,24-109,90,0,0,0,,,,0,0,,,,,,,0,,
8,Alexandre Song,,cm CMR,"DF,MF",22-353,90,0,0,0,,,,0,0,,,,,,,0,,
9,Gaël Clichy,,fr FRA,DF,25-033,90,0,0,0,,,,0,0,,,,,,,0,,
10,Thomas Vermaelen,,be BEL,DF,24-287,90,0,0,0,,,,0,0,,,,,,,0,,
11,Laurent Koscielny,,fr FRA,DF,24-352,90,0,0,0,,,,0,0,,,,,,,0,,
12,Bacary Sagna,,fr FRA,DF,27-195,90,0,0,0,,,,0,0,,,,,,,0,,
13,Manuel Almunia,,es ESP,GK,33-101,90,0,0,0,,,,0,0,,,,,,,0,,
14,14 Players,,,,,990,2,2,0,,,,0,0,,,,,,,0,,
