,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
0,2019-08-11,16:30 ,Premier League,Matchweek 1,Sun,Away,L,0,4,Manchester Utd,1.0,2.2,54,"73,620",César Azpilicueta,4-2-3-1,Anthony Taylor,https://fbref.com/en/matches/d0583d0d/Manchester-United-Chelsea-August-11-2019-Premier-League,
2,2019-08-18,16:30 ,Premier League,Matchweek 2,Sun,Home,D,1,1,Leicester City,1.1,0.8,50,"40,629",César Azpilicueta,4-3-3,Oliver Langford,https://fbref.com/en/matches/aebf58b9/Chelsea-Leicester-City-August-18-2019-Premier-League,
3,2019-08-24,12:30 ,Premier League,Matchweek 3,Sat,Away,W,3,2,Norwich City,1.5,1.1,54,"27,032",César Azpilicueta,4-3-3,Martin Atkinson,https://fbref.com/en/matches/4f4fd2d8/Norwich-City-Chelsea-August-24-2019-Premier-League,
4,2019-08-31,15:00 ,Premier League,Matchweek 4,Sat,Home,D,2,2,Sheffield Utd,2.0,1.1,62,"40,560",César Azpilicueta,4-3-3,Stuart Attwell,https://fbref.com/en/matches/495db223/Chelsea-Sheffield-United-August-31-2019-Premier-League,
5,2019-09-14,15:00 ,Premier League,Matchweek 5,Sat,Away,W,5,2,Wolves,2.7,1.7,54,"31,534",César Azpilicueta,3-4-3,Graham Scott,https://fbref.com/en/matches/0fa0a658/Wolverhampton-Wanderers-Chelsea-September-14-2019-Premier-League,
7,2019-09-22,16:30 ,Premier League,Matchweek 6,Sun,Home,L,1,2,Liverpool,1.3,0.6,55,"40,638",César Azpilicueta,4-3-3,Michael Oliver,https://fbref.com/en/matches/02e3ae79/Chelsea-Liverpool-September-22-2019-Premier-League,
9,2019-09-28,15:00 ,Premier League,Matchweek 7,Sat,Home,W,2,0,Brighton,3.7,0.6,53,"40,683",César Azpilicueta,4-3-3,Chris Kavanagh,https://fbref.com/en/matches/1d4b5564/Chelsea-Brighton-and-Hove-Albion-September-28-2019-Premier-League,
11,2019-10-06,14:00 ,Premier League,Matchweek 8,Sun,Away,W,4,1,Southampton,1.7,1.4,57,"31,473",César Azpilicueta,4-3-3,Paul Tierney,https://fbref.com/en/matches/078b24d4/Southampton-Chelsea-October-6-2019-Premier-League,
12,2019-10-19,15:00 ,Premier League,Matchweek 9,Sat,Home,W,1,0,Newcastle Utd,2.0,0.4,71,"40,513",César Azpilicueta,4-3-3,Andre Marriner,https://fbref.com/en/matches/c17538b0/Chelsea-Newcastle-United-October-19-2019-Premier-League,
14,2019-10-26,17:30 ,Premier League,Matchweek 10,Sat,Away,W,4,2,Burnley,0.9,2.1,63,"20,975",César Azpilicueta,4-2-3-1,Michael Oliver,https://fbref.com/en/matches/082dc9ef/Burnley-Chelsea-October-26-2019-Premier-League,
