,equipe,lien
0,Chelsea-Stats,https://fbref.com/en/squads/cff3d9bb/2014-2015/Chelsea-Stats
1,Manchester-City-Stats,https://fbref.com/en/squads/b8fd03ef/2014-2015/Manchester-City-Stats
2,Arsenal-Stats,https://fbref.com/en/squads/18bb7c10/2014-2015/Arsenal-Stats
3,Manchester-United-Stats,https://fbref.com/en/squads/19538871/2014-2015/Manchester-United-Stats
4,Tottenham-Hotspur-Stats,https://fbref.com/en/squads/361ca564/2014-2015/Tottenham-Hotspur-Stats
5,Liverpool-Stats,https://fbref.com/en/squads/822bd0ba/2014-2015/Liverpool-Stats
6,Southampton-Stats,https://fbref.com/en/squads/33c895d4/2014-2015/Southampton-Stats
7,Swansea-City-Stats,https://fbref.com/en/squads/fb10988f/2014-2015/Swansea-City-Stats
8,Stoke-City-Stats,https://fbref.com/en/squads/17892952/2014-2015/Stoke-City-Stats
9,Crystal-Palace-Stats,https://fbref.com/en/squads/47c64c55/2014-2015/Crystal-Palace-Stats
10,Everton-Stats,https://fbref.com/en/squads/d3fd31cc/2014-2015/Everton-Stats
11,West-Ham-United-Stats,https://fbref.com/en/squads/7c21e445/2014-2015/West-Ham-United-Stats
12,West-Bromwich-Albion-Stats,https://fbref.com/en/squads/60c6b05f/2014-2015/West-Bromwich-Albion-Stats
13,Leicester-City-Stats,https://fbref.com/en/squads/a2d435b3/2014-2015/Leicester-City-Stats
14,Newcastle-United-Stats,https://fbref.com/en/squads/b2b47a98/2014-2015/Newcastle-United-Stats
15,Sunderland-Stats,https://fbref.com/en/squads/8ef52968/2014-2015/Sunderland-Stats
16,Aston-Villa-Stats,https://fbref.com/en/squads/8602292d/2014-2015/Aston-Villa-Stats
17,Hull-City-Stats,https://fbref.com/en/squads/bd8769d1/2014-2015/Hull-City-Stats
18,Burnley-Stats,https://fbref.com/en/squads/943e8050/2014-2015/Burnley-Stats
19,Queens-Park-Rangers-Stats,https://fbref.com/en/squads/a757999c/2014-2015/Queens-Park-Rangers-Stats
