,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
0,Asamoah Gyan,,gh GHA,FW,25-103,77,0,0,0,,,,0,0,,,,,,,0,,
1,Ahmed Elmohamady,,eg EGY,"DF,MF",23-177,13,0,0,0,,,,0,0,,,,,,,0,,
2,Steed Malbranque,,fr FRA,MF,31-058,67,0,0,0,,,,0,0,,,,,,,0,,
3,Danny Welbeck,,eng ENG,"FW,MF",20-099,23,0,0,0,,,,0,0,,,,,,,0,,
4,Stéphane Sessègnon,,bj BEN,"FW,MF",26-277,90,0,0,0,,,,0,0,,,,,,,0,,
5,Sulley Muntari,,gh GHA,MF,26-190,90,0,0,0,,,,0,0,,,,,,,0,,
6,Kieran Richardson,,eng ENG,"DF,MF",26-135,90,0,0,0,,,,1,0,,,,,,,0,,
7,Jordan Henderson,,eng ENG,MF,20-261,86,0,0,0,,,,1,0,,,,,,,0,,
8,Jack Colback,,eng ENG,"DF,MF",21-132,4,0,0,0,,,,1,0,,,,,,,0,,
9,Phil Bardsley,,sct SCO,DF,25-250,90,0,0,0,,,,0,0,,,,,,,0,,
10,Titus Bramble,,eng ENG,DF,29-217,90,0,0,0,,,,0,0,,,,,,,0,,
11,John Mensah,,gh GHA,DF,28-096,90,0,0,0,,,,0,0,,,,,,,0,,
12,Anton Ferdinand,,eng ENG,DF,26-015,90,0,0,0,,,,0,0,,,,,,,0,,
13,Simon Mignolet,,be BEL,GK,22-364,90,0,0,0,,,,0,0,,,,,,,0,,
14,14 Players,,,,,990,0,0,0,,,,3,0,,,,,,,0,,
