,num,joueur
0,,Christopher Samba
1,,Jason Lowe
2,,Steven Nzonzi
3,,Yakubu Aiyegbeni
4,,Míchel Salgado
5,,Scott Dann
6,,Junior Hoilett
7,,Martin Olsson
8,,Gaël Givet
9,,
10,,Mark Bunn
