,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
0,Marouane Chamakh,,ma MAR,FW,26-244,79,1,0,0,,,,0,0,,,,,,,0,,
1,Carlos Vela,,mx MEX,"FW,MF",21-194,11,1,0,0,,,,0,0,,,,,,,0,,
2,Andrey Arshavin,,ru RUS,"FW,MF",29-105,90,0,1,0,,,,0,0,,,,,,,0,,
3,Tomáš Rosický,,cz CZE,MF,29-342,90,0,0,0,,,,0,0,,,,,,,0,,
4,Jack Wilshere,,eng ENG,MF,18-253,58,0,0,0,,,,0,0,,,,,,,0,,
5,Abou Diaby,,fr FRA,MF,24-123,13,0,0,0,,,,0,0,,,,,,,0,,
6,Denílson,,br BRA,MF,22-207,19,0,0,0,,,,0,0,,,,,,,0,,
7,Cesc Fàbregas,,es ESP,"FW,MF",23-130,90,0,2,0,,,,0,0,,,,,,,0,,
8,Alexandre Song,,cm CMR,"DF,MF",23-002,90,1,0,0,,,,0,0,,,,,,,0,,
9,Kieran Gibbs,,eng ENG,"DF,MF",20-350,90,0,0,0,,,,1,0,,,,,,,0,,
10,Laurent Koscielny,,fr FRA,DF,25-001,90,1,0,0,,,,0,0,,,,,,,0,,
11,Sébastien Squillaci,,fr FRA,DF,30-031,90,0,0,0,,,,0,0,,,,,,,0,,
12,Emmanuel Eboué,,ci CIV,"DF,MF",27-099,90,0,0,0,,,,1,0,,,,,,,0,,
13,Manuel Almunia,,es ESP,GK,33-115,90,0,0,0,,,,0,0,,,,,,,0,,
14,14 Players,,,,,990,4,3,0,,,,2,0,,,,,,,0,,
