,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
0,2019-08-10,17:30 ,Premier League,Matchweek 1,Sat,Away,L,1,3,Tottenham,0.7,2.4,30,"60,407",Jack Grealish,4-1-4-1,Chris Kavanagh,https://fbref.com/en/matches/404ee5d3/Tottenham-Hotspur-Aston-Villa-August-10-2019-Premier-League,
1,2019-08-17,15:00 ,Premier League,Matchweek 2,Sat,Home,L,1,2,Bournemouth,2.0,1.6,63,"40,996",Jack Grealish,4-3-3,Martin Atkinson,https://fbref.com/en/matches/7ad0ed82/Aston-Villa-Bournemouth-August-17-2019-Premier-League,
2,2019-08-23,20:00 ,Premier League,Matchweek 3,Fri,Home,W,2,0,Everton,1.0,1.3,36,"41,922",Jack Grealish,4-1-4-1,Michael Oliver,https://fbref.com/en/matches/3e805eff/Aston-Villa-Everton-August-23-2019-Premier-League,
4,2019-08-31,15:00 ,Premier League,Matchweek 4,Sat,Away,L,0,1,Crystal Palace,0.4,1.4,48,"25,248",Jack Grealish,4-3-3,Kevin Friend,https://fbref.com/en/matches/230f4fac/Crystal-Palace-Aston-Villa-August-31-2019-Premier-League,
5,2019-09-16,20:00 ,Premier League,Matchweek 5,Mon,Home,D,0,0,West Ham,1.3,0.6,46,"42,010",Jack Grealish,4-3-3,Mike Dean,https://fbref.com/en/matches/b26df467/Aston-Villa-West-Ham-United-September-16-2019-Premier-League,
6,2019-09-22,16:30 ,Premier League,Matchweek 6,Sun,Away,L,2,3,Arsenal,1.5,2.4,42,"60,331",Jack Grealish,4-3-3,Jonathan Moss,https://fbref.com/en/matches/d5fa0563/Arsenal-Aston-Villa-September-22-2019-Premier-League,
8,2019-09-28,15:00 ,Premier League,Matchweek 7,Sat,Home,D,2,2,Burnley,1.0,1.5,60,"41,546",Jack Grealish,4-3-3,Lee Mason,https://fbref.com/en/matches/37a51188/Aston-Villa-Burnley-September-28-2019-Premier-League,
9,2019-10-05,15:00 ,Premier League,Matchweek 8,Sat,Away,W,5,1,Norwich City,3.0,2.6,43,"27,045",Jack Grealish,4-3-3,Andy Madley,https://fbref.com/en/matches/e50b8e5b/Norwich-City-Aston-Villa-October-5-2019-Premier-League,
10,2019-10-19,15:00 ,Premier League,Matchweek 9,Sat,Home,W,2,1,Brighton,3.0,1.2,49,"41,826",Jack Grealish,4-3-3,David Coote,https://fbref.com/en/matches/34685c72/Aston-Villa-Brighton-and-Hove-Albion-October-19-2019-Premier-League,
11,2019-10-26,12:30 ,Premier League,Matchweek 10,Sat,Away,L,0,3,Manchester City,1.0,2.9,37,"54,506",Jack Grealish,4-1-4-1,Graham Scott,https://fbref.com/en/matches/e0a4db2d/Manchester-City-Aston-Villa-October-26-2019-Premier-League,
13,2019-11-02,15:00 ,Premier League,Matchweek 11,Sat,Home,L,1,2,Liverpool,0.4,2.4,27,"41,878",Tyrone Mings,4-3-3,Jonathan Moss,https://fbref.com/en/matches/2206646c/Aston-Villa-Liverpool-November-2-2019-Premier-League,
14,2019-11-10,14:00 ,Premier League,Matchweek 12,Sun,Away,L,1,2,Wolves,0.6,2.4,50,"31,607",Tyrone Mings,4-3-3,Anthony Taylor,https://fbref.com/en/matches/2794f89d/Wolverhampton-Wanderers-Aston-Villa-November-10-2019-Premier-League,
15,2019-11-25,20:00 ,Premier League,Matchweek 13,Mon,Home,W,2,0,Newcastle Utd,2.3,0.6,61,"41,821",Jack Grealish,4-3-3,Lee Mason,https://fbref.com/en/matches/f6f8808e/Aston-Villa-Newcastle-United-November-25-2019-Premier-League,
16,2019-12-01,16:30 ,Premier League,Matchweek 14,Sun,Away,D,2,2,Manchester Utd,1.2,1.7,38,"73,381",Jack Grealish,4-3-3,Craig Pawson,https://fbref.com/en/matches/e88d9028/Manchester-United-Aston-Villa-December-1-2019-Premier-League,
17,2019-12-04,19:30 ,Premier League,Matchweek 15,Wed,Away,L,1,2,Chelsea,1.0,1.8,36,"40,628",Jack Grealish,4-3-3,Chris Kavanagh,https://fbref.com/en/matches/3f316110/Chelsea-Aston-Villa-December-4-2019-Premier-League,
18,2019-12-08,14:00 ,Premier League,Matchweek 16,Sun,Home,L,1,4,Leicester City,1.2,4.6,41,"41,908",Jack Grealish,4-1-4-1,Michael Oliver,https://fbref.com/en/matches/559e812a/Aston-Villa-Leicester-City-December-8-2019-Premier-League,
19,2019-12-14,15:00 ,Premier League,Matchweek 17,Sat,Away,L,0,2,Sheffield Utd,1.1,1.7,44,"30,396",Jack Grealish,4-3-3,Peter Bankes,https://fbref.com/en/matches/b1b5e590/Sheffield-United-Aston-Villa-December-14-2019-Premier-League,
21,2019-12-21,15:00 ,Premier League,Matchweek 18,Sat,Home,L,1,3,Southampton,1.1,2.8,56,"41,834",Jack Grealish,4-3-3,Craig Pawson,https://fbref.com/en/matches/d50390a8/Aston-Villa-Southampton-December-21-2019-Premier-League,
22,2019-12-26,15:00 ,Premier League,Matchweek 19,Thu,Home,W,1,0,Norwich City,0.6,1.2,43,"41,289",Jack Grealish,4-2-3-1,Chris Kavanagh,https://fbref.com/en/matches/010301bf/Aston-Villa-Norwich-City-December-26-2019-Premier-League,
23,2019-12-28,15:00 ,Premier League,Matchweek 20,Sat,Away,L,0,3,Watford,0.6,2.8,51,"21,348",Jack Grealish,4-2-3-1,Simon Hooper,https://fbref.com/en/matches/36dc1eb8/Watford-Aston-Villa-December-28-2019-Premier-League,
24,2020-01-01,12:30 ,Premier League,Matchweek 21,Wed,Away,W,2,1,Burnley,1.3,2.2,38,"19,561",Jack Grealish,3-4-3,Michael Oliver,https://fbref.com/en/matches/ac409026/Burnley-Aston-Villa-January-1-2020-Premier-League,
27,2020-01-12,16:30 ,Premier League,Matchweek 22,Sun,Home,L,1,6,Manchester City,1.1,2.8,30,"41,823",Jack Grealish,5-3-2,Jonathan Moss,https://fbref.com/en/matches/ffb4946c/Aston-Villa-Manchester-City-January-12-2020-Premier-League,
28,2020-01-18,15:00 ,Premier League,Matchweek 23,Sat,Away,D,1,1,Brighton,0.6,1.1,45,"30,551",Jack Grealish,3-4-3,Andy Madley,https://fbref.com/en/matches/bd044bad/Brighton-and-Hove-Albion-Aston-Villa-January-18-2020-Premier-League,
29,2020-01-21,19:30 ,Premier League,Matchweek 24,Tue,Home,W,2,1,Watford,1.3,1.8,64,"40,867",Jack Grealish,3-4-3,Martin Atkinson,https://fbref.com/en/matches/3deb145e/Aston-Villa-Watford-January-21-2020-Premier-League,
31,2020-02-01,15:00 ,Premier League,Matchweek 25,Sat,Away,L,1,2,Bournemouth,1.7,2.2,60,"10,722",Jack Grealish,3-4-3,Anthony Taylor,https://fbref.com/en/matches/db21a88a/Bournemouth-Aston-Villa-February-1-2020-Premier-League,
32,2020-02-16,14:00 ,Premier League,Matchweek 26,Sun,Home,L,2,3,Tottenham,1.8,3.4,55,"41,874",Jack Grealish,3-4-3,Martin Atkinson,https://fbref.com/en/matches/ebfe971d/Aston-Villa-Tottenham-Hotspur-February-16-2020-Premier-League,
33,2020-02-22,15:00 ,Premier League,Matchweek 27,Sat,Away,L,0,2,Southampton,0.5,2.6,54,"31,478",Jack Grealish,3-4-3,Craig Pawson,https://fbref.com/en/matches/66823ac4/Southampton-Aston-Villa-February-22-2020-Premier-League,
35,2020-03-09,20:00 ,Premier League,Matchweek 29,Mon,Away,L,0,4,Leicester City,0.5,2.1,36,"32,125",Jack Grealish,4-1-4-1,Michael Oliver,https://fbref.com/en/matches/76f492dc/Leicester-City-Aston-Villa-March-9-2020-Premier-League,
36,2020-06-17,18:00 ,Premier League,Matchweek 28,Wed,Home,D,0,0,Sheffield Utd,1.4,0.3,46,,Jack Grealish,4-3-3,Michael Oliver,https://fbref.com/en/matches/18961bf7/Aston-Villa-Sheffield-United-June-17-2020-Premier-League,
37,2020-06-21,16:15 ,Premier League,Matchweek 30,Sun,Home,L,1,2,Chelsea,1.0,1.1,27,,Jack Grealish,4-3-3,Paul Tierney,https://fbref.com/en/matches/827d4651/Aston-Villa-Chelsea-June-21-2020-Premier-League,
38,2020-06-24,18:00 ,Premier League,Matchweek 31,Wed,Away,D,1,1,Newcastle Utd,1.6,0.9,48,,Jack Grealish,4-3-3,Chris Kavanagh,https://fbref.com/en/matches/66027e20/Newcastle-United-Aston-Villa-June-24-2020-Premier-League,
