,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes
,Player,#,Nation,Pos,Age,Min,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
0,Joselu,21.0,es ESP,FW,27-173,77,19,18,0,0,0,0,0,0,0,0,0,0,12,1,0
1,Dwight Gayle,9.0,eng ENG,FW,26-334,13,3,3,0,0,0,0,0,0,0,0,0,0,2,0,0
2,Christian Atsu,30.0,gh GHA,LW,25-249,90,20,20,0,0,0,0,2,0,0,0,0,0,16,0,0
3,Matt Ritchie,11.0,sct SCO,RW,28-006,90,36,23,13,4,0,1,10,2,7,3,1,0,24,0,1
4,Ayoze Pérez,17.0,es ESP,AM,24-049,85,18,16,2,0,1,1,1,0,0,0,0,0,10,0,1
5,Mohamed Diamé,10.0,sn SEN,AM,30-094,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Mikel Merino,23.0,es ESP,DM,21-086,90,43,42,1,1,0,1,0,0,0,0,0,0,33,0,0
7,Isaac Hayden,14.0,eng ENG,DM,22-178,68,34,33,1,0,0,0,2,1,0,0,0,0,27,0,1
8,Jonjo Shelvey,8.0,eng ENG,DM,25-201,22,7,5,1,1,0,1,0,0,0,0,0,0,4,1,0
9,Chancel Mbemba,18.0,cd COD,LB,23-039,90,35,24,11,0,1,0,0,11,0,0,0,0,20,0,1
10,Ciaran Clark,2.0,ie IRL,CB,27-355,90,31,31,0,0,0,0,0,0,0,0,0,0,18,0,0
11,Jamaal Lascelles,6.0,eng ENG,CB,23-309,90,28,25,3,3,0,0,0,0,0,0,0,0,20,0,1
12,DeAndre Yedlin,22.0,us USA,RB,24-069,90,31,23,8,0,0,0,3,8,0,0,0,0,21,0,1
13,Rob Elliot,1.0,ie IRL,GK,31-139,90,30,14,16,3,0,0,0,0,0,0,0,0,21,0,0
14,14 Players,,,,,990,335,277,56,12,2,4,18,22,7,3,1,0,228,2,6
