,equipe,lien
0,Manchester-City-Stats,https://fbref.com/en/squads/b8fd03ef/2020-2021/Manchester-City-Stats
1,Manchester-United-Stats,https://fbref.com/en/squads/19538871/2020-2021/Manchester-United-Stats
2,Liverpool-Stats,https://fbref.com/en/squads/822bd0ba/2020-2021/Liverpool-Stats
3,Chelsea-Stats,https://fbref.com/en/squads/cff3d9bb/2020-2021/Chelsea-Stats
4,Leicester-City-Stats,https://fbref.com/en/squads/a2d435b3/2020-2021/Leicester-City-Stats
5,West-Ham-United-Stats,https://fbref.com/en/squads/7c21e445/2020-2021/West-Ham-United-Stats
6,Tottenham-Hotspur-Stats,https://fbref.com/en/squads/361ca564/2020-2021/Tottenham-Hotspur-Stats
7,Arsenal-Stats,https://fbref.com/en/squads/18bb7c10/2020-2021/Arsenal-Stats
8,Leeds-United-Stats,https://fbref.com/en/squads/5bfb9659/2020-2021/Leeds-United-Stats
9,Everton-Stats,https://fbref.com/en/squads/d3fd31cc/2020-2021/Everton-Stats
10,Aston-Villa-Stats,https://fbref.com/en/squads/8602292d/2020-2021/Aston-Villa-Stats
11,Newcastle-United-Stats,https://fbref.com/en/squads/b2b47a98/2020-2021/Newcastle-United-Stats
12,Wolverhampton-Wanderers-Stats,https://fbref.com/en/squads/8cec06e1/2020-2021/Wolverhampton-Wanderers-Stats
13,Crystal-Palace-Stats,https://fbref.com/en/squads/47c64c55/2020-2021/Crystal-Palace-Stats
14,Southampton-Stats,https://fbref.com/en/squads/33c895d4/2020-2021/Southampton-Stats
15,Brighton-and-Hove-Albion-Stats,https://fbref.com/en/squads/d07537b9/2020-2021/Brighton-and-Hove-Albion-Stats
16,Burnley-Stats,https://fbref.com/en/squads/943e8050/2020-2021/Burnley-Stats
17,Fulham-Stats,https://fbref.com/en/squads/fd962109/2020-2021/Fulham-Stats
18,West-Bromwich-Albion-Stats,https://fbref.com/en/squads/60c6b05f/2020-2021/West-Bromwich-Albion-Stats
19,Sheffield-United-Stats,https://fbref.com/en/squads/1df6b87e/2020-2021/Sheffield-United-Stats
