,num,joueur
0,,Ben Foster
1,,Matt Derbyshire
2,,Kevin Phillips
3,,Stuart Parnaby
4,,Barry Ferguson
5,,David Bentley
6,,Sebastian Larsson
7,,Martin Jiránek
8,,Stephen Carr
9,,Lee Bowyer
10,,Roger Johnson
