,num,joueur
0,,Matt Gilks
1,,Neal Eardley
2,,Stephen Crainey
3,,Gary Taylor-Fletcher
4,,Ian Evatt
5,,Alex Baptiste
6,,Matt Phillips
7,,Keith Southern
8,,Charlie Adam
9,,David Vaughan
10,,DJ Campbell
