,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
0,Cameron Jerome,,eng ENG,FW,24-049,79,0,0,0,,,,0,0,,,,,,,0,,
1,Matt Derbyshire,,eng ENG,FW,24-171,11,0,0,0,,,,0,0,,,,,,,0,,
2,Alexander Hleb,,by BLR,MF,29-154,90,0,0,0,,,,0,0,,,,,,,0,,
3,Keith Fahey,,ie IRL,MF,27-260,69,0,0,0,,,,0,0,,,,,,,0,,
4,Nikola Žigić,,rs SRB,FW,30-007,21,0,0,0,,,,0,0,,,,,,,0,,
5,Lee Bowyer,,eng ENG,MF,33-272,90,0,0,0,,,,0,0,,,,,,,0,,
6,Barry Ferguson,,sct SCO,MF,32-242,90,0,0,0,,,,0,0,,,,,,,0,,
7,Sebastian Larsson,,se SWE,MF,25-118,90,0,0,0,,,,0,0,,,,,,,0,,
8,Liam Ridgewell,,eng ENG,DF,26-073,90,0,0,0,,,,0,0,,,,,,,0,,
9,Scott Dann,,eng ENG,DF,23-230,90,0,0,0,,,,0,0,,,,,,,0,,
10,Roger Johnson,,eng ENG,DF,27-157,90,0,0,0,,,,0,0,,,,,,,1,,
11,Stephen Carr,,ie IRL,DF,34-034,90,0,0,0,,,,0,0,,,,,,,0,,
12,Ben Foster,,eng ENG,GK,27-182,90,0,0,0,,,,0,0,,,,,,,0,,
13,13 Players,,,,,990,0,0,0,,,,0,0,,,,,,,1,,
