,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Shot Stopping,Shot Stopping,Shot Stopping,Shot Stopping
,Player,Nation,Age,Min,SoTA,GA,Saves,Save%
0,Scott Carson,eng ENG,25-183,90,,1,,
