,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
0,Nikola Kalinić,,hr CRO,FW,22-286,63,0,0,0,,,,1,0,,,,,,,0,,
1,Benjani,,zw ZIM,FW,32-066,17,0,0,0,,,,0,0,,,,,,,0,,
2,Mame Biram Diouf,,sn SEN,"FW,MF",22-306,10,0,0,0,,,,0,0,,,,,,,0,,
3,El Hadji Diouf,,sn SEN,"FW,MF",29-276,90,0,0,0,,,,0,0,,,,,,,0,,
4,Morten Gamst Pedersen,,no NOR,"FW,MF",29-040,90,0,0,0,,,,0,0,,,,,,,0,,
5,Phil Jones,,eng ENG,"DF,MF",18-239,90,0,0,0,,,,0,0,,,,,,,0,,
6,Brett Emerton,,au AUS,"DF,MF",31-238,90,0,0,0,,,,1,0,,,,,,,0,,
7,Steven Nzonzi,,fr FRA,MF,21-307,90,0,0,0,,,,0,0,,,,,,,0,,
8,Martin Olsson,,se SWE,"DF,MF",22-154,90,0,0,0,,,,0,0,,,,,,,0,,
9,Gaël Givet,,fr FRA,DF,29-009,90,0,0,0,,,,0,0,,,,,,,0,,
10,Christopher Samba,,cg CGO,DF,26-204,44,0,0,0,,,,0,1,,,,,,,0,,
11,Míchel Salgado,,es ESP,DF,34-361,64,0,0,0,,,,0,0,,,,,,,0,,
12,David Dunn,,eng ENG,MF,30-295,26,0,0,0,,,,0,0,,,,,,,0,,
13,Paul Robinson,,eng ENG,GK,31-003,90,0,0,0,,,,0,0,,,,,,,0,,
14,14 Players,,,,,944,0,0,0,,,,2,1,,,,,,,0,,
