,equipe,lien
0,Manchester-City-Stats,https://fbref.com/en/squads/b8fd03ef/2018-2019/Manchester-City-Stats
1,Liverpool-Stats,https://fbref.com/en/squads/822bd0ba/2018-2019/Liverpool-Stats
2,Chelsea-Stats,https://fbref.com/en/squads/cff3d9bb/2018-2019/Chelsea-Stats
3,Tottenham-Hotspur-Stats,https://fbref.com/en/squads/361ca564/2018-2019/Tottenham-Hotspur-Stats
4,Arsenal-Stats,https://fbref.com/en/squads/18bb7c10/2018-2019/Arsenal-Stats
5,Manchester-United-Stats,https://fbref.com/en/squads/19538871/2018-2019/Manchester-United-Stats
6,Wolverhampton-Wanderers-Stats,https://fbref.com/en/squads/8cec06e1/2018-2019/Wolverhampton-Wanderers-Stats
7,Everton-Stats,https://fbref.com/en/squads/d3fd31cc/2018-2019/Everton-Stats
8,Leicester-City-Stats,https://fbref.com/en/squads/a2d435b3/2018-2019/Leicester-City-Stats
9,West-Ham-United-Stats,https://fbref.com/en/squads/7c21e445/2018-2019/West-Ham-United-Stats
10,Watford-Stats,https://fbref.com/en/squads/2abfe087/2018-2019/Watford-Stats
11,Crystal-Palace-Stats,https://fbref.com/en/squads/47c64c55/2018-2019/Crystal-Palace-Stats
12,Newcastle-United-Stats,https://fbref.com/en/squads/b2b47a98/2018-2019/Newcastle-United-Stats
13,Bournemouth-Stats,https://fbref.com/en/squads/4ba7cbea/2018-2019/Bournemouth-Stats
14,Burnley-Stats,https://fbref.com/en/squads/943e8050/2018-2019/Burnley-Stats
15,Southampton-Stats,https://fbref.com/en/squads/33c895d4/2018-2019/Southampton-Stats
16,Brighton-and-Hove-Albion-Stats,https://fbref.com/en/squads/d07537b9/2018-2019/Brighton-and-Hove-Albion-Stats
17,Cardiff-City-Stats,https://fbref.com/en/squads/75fae011/2018-2019/Cardiff-City-Stats
18,Fulham-Stats,https://fbref.com/en/squads/fd962109/2018-2019/Fulham-Stats
19,Huddersfield-Town-Stats,https://fbref.com/en/squads/f5922ca5/2018-2019/Huddersfield-Town-Stats
