,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
0,2022-08-07,14:00 ,Premier League,Matchweek 1,Sun,Away,D,2,2,Leicester City,0.8,0.6,44,"31,794",Pontus Jansson,4-3-3,Jarred Gillett,https://fbref.com/en/matches/3249ba27/Leicester-City-Brentford-August-7-2022-Premier-League,
1,2022-08-13,17:30 ,Premier League,Matchweek 2,Sat,Home,W,4,0,Manchester Utd,1.6,0.9,34,"17,051",Pontus Jansson,5-3-2,Stuart Attwell,https://fbref.com/en/matches/04712d4e/Brentford-Manchester-United-August-13-2022-Premier-League,
2,2022-08-20,15:00 ,Premier League,Matchweek 3,Sat,Away,L,2,3,Fulham,1.8,2.4,57,"21,798",Pontus Jansson,4-3-3,Peter Bankes,https://fbref.com/en/matches/a107c037/Fulham-Brentford-August-20-2022-Premier-League,
4,2022-08-27,15:00 ,Premier League,Matchweek 4,Sat,Home,D,1,1,Everton,2.1,1.1,58,"17,009",Christian Nørgaard,4-3-3,John Brooks,https://fbref.com/en/matches/db59fc65/Brentford-Everton-August-27-2022-Premier-League,
5,2022-08-30,19:30 ,Premier League,Matchweek 5,Tue,Away,D,1,1,Crystal Palace,1.4,1.0,51,"25,043",Ivan Toney,4-3-3,Simon Hooper,https://fbref.com/en/matches/e1d6440f/Crystal-Palace-Brentford-August-30-2022-Premier-League,
6,2022-09-03,15:00 ,Premier League,Matchweek 6,Sat,Home,W,5,2,Leeds United,2.3,1.7,32,"17,092",Pontus Jansson,4-3-3,Robert Jones,https://fbref.com/en/matches/88f9aad9/Brentford-Leeds-United-September-3-2022-Premier-League,
7,2022-09-18,12:00 ,Premier League,Matchweek 8,Sun,Home,L,0,3,Arsenal,0.5,1.5,37,"17,122",Pontus Jansson,3-5-2,David Coote,https://fbref.com/en/matches/fd5626e6/Brentford-Arsenal-September-18-2022-Premier-League,
8,2022-10-01,15:00 ,Premier League,Matchweek 9,Sat,Away,D,0,0,Bournemouth,0.9,0.4,58,"10,126",Pontus Jansson,4-3-3,Thomas Bramall,https://fbref.com/en/matches/f2e86b27/Bournemouth-Brentford-October-1-2022-Premier-League,
9,2022-10-08,15:00 ,Premier League,Matchweek 10,Sat,Away,L,1,5,Newcastle Utd,1.2,1.5,46,"52,067",Ivan Toney,3-5-2,John Brooks,https://fbref.com/en/matches/7dd42d3f/Newcastle-United-Brentford-October-8-2022-Premier-League,
10,2022-10-14,20:00 ,Premier League,Matchweek 11,Fri,Home,W,2,0,Brighton,1.5,1.9,28,"17,016",Ivan Toney,4-3-3,Michael Salisbury,https://fbref.com/en/matches/69409682/Brentford-Brighton-and-Hove-Albion-October-14-2022-Premier-League,
