,num,joueur
0,,Artur Boruc
1,,Nathaniel Clyne
2,,Gastón Ramírez
3,,Rickie Lambert
4,,Jay Rodriguez
5,,Morgan Schneiderlin
6,,Jack Cork
7,,Adam Lallana
8,,Luke Shaw
9,,Maya Yoshida
10,,Jos Hooiveld
