,num,joueur
0,,Brad Guzan
1,,Karim El Ahmadi
2,,Fabian Delph
3,,Ciaran Clark
4,,Ron Vlaar
5,,Ashley Westwood
6,,Andreas Weimann
7,,Leandro Bacuna
8,,Christian Benteke
9,,Gabriel Agbonlahor
10,,Antonio Luna
