,num,joueur
0,,Morten Gamst Pedersen
1,,Steven Nzonzi
2,,David Dunn
3,,Radosav Petrović
4,,Scott Dann
5,,Anthony Modeste
6,,Junior Hoilett
7,,Martin Olsson
8,,Gaël Givet
9,,
10,,Mark Bunn
