,num,joueur
0,5,Marc Muniesa
1,6,Glenn Whelan
2,10,Marko Arnautović
3,11,Joselu
4,17,Ryan Shawcross
5,18,Mame Biram Diouf
6,20,Geoff Cameron
7,21,Giannelli Imbula
8,26,Philipp Wollscheid
9,,
10,29,Jakob Haugaard
