,num,joueur
0,4,Vincent Kompany
1,7,Raheem Sterling
2,8,İlkay Gündoğan
3,10,Sergio Agüero
4,14,Aymeric Laporte
5,19,Leroy Sané
6,20,Bernardo Silva
7,21,David Silva
8,35,Oleksandr Zinchenko
9,,
10,49,Arijanet Muric
