,equipe,lien
0,Manchester-City-Stats,https://fbref.com/en/squads/b8fd03ef/2022-2023/Manchester-City-Stats
1,Arsenal-Stats,https://fbref.com/en/squads/18bb7c10/2022-2023/Arsenal-Stats
2,Manchester-United-Stats,https://fbref.com/en/squads/19538871/2022-2023/Manchester-United-Stats
3,Newcastle-United-Stats,https://fbref.com/en/squads/b2b47a98/2022-2023/Newcastle-United-Stats
4,Liverpool-Stats,https://fbref.com/en/squads/822bd0ba/2022-2023/Liverpool-Stats
5,Brighton-and-Hove-Albion-Stats,https://fbref.com/en/squads/d07537b9/2022-2023/Brighton-and-Hove-Albion-Stats
6,Aston-Villa-Stats,https://fbref.com/en/squads/8602292d/2022-2023/Aston-Villa-Stats
7,Tottenham-Hotspur-Stats,https://fbref.com/en/squads/361ca564/2022-2023/Tottenham-Hotspur-Stats
8,Brentford-Stats,https://fbref.com/en/squads/cd051869/2022-2023/Brentford-Stats
9,Fulham-Stats,https://fbref.com/en/squads/fd962109/2022-2023/Fulham-Stats
10,Crystal-Palace-Stats,https://fbref.com/en/squads/47c64c55/2022-2023/Crystal-Palace-Stats
11,Chelsea-Stats,https://fbref.com/en/squads/cff3d9bb/2022-2023/Chelsea-Stats
12,Wolverhampton-Wanderers-Stats,https://fbref.com/en/squads/8cec06e1/2022-2023/Wolverhampton-Wanderers-Stats
13,West-Ham-United-Stats,https://fbref.com/en/squads/7c21e445/2022-2023/West-Ham-United-Stats
14,Bournemouth-Stats,https://fbref.com/en/squads/4ba7cbea/2022-2023/Bournemouth-Stats
15,Nottingham-Forest-Stats,https://fbref.com/en/squads/e4a775cb/2022-2023/Nottingham-Forest-Stats
16,Everton-Stats,https://fbref.com/en/squads/d3fd31cc/2022-2023/Everton-Stats
17,Leicester-City-Stats,https://fbref.com/en/squads/a2d435b3/2022-2023/Leicester-City-Stats
18,Leeds-United-Stats,https://fbref.com/en/squads/5bfb9659/2022-2023/Leeds-United-Stats
19,Southampton-Stats,https://fbref.com/en/squads/33c895d4/2022-2023/Southampton-Stats
