,num,joueur
0,,Pablo Hernández
1,,Leon Britton
2,,Ashley Williams
3,,Àngel Rangel
4,,Ben Davies
5,,Jonjo Shelvey
6,,Wayne Routledge
7,,Jonathan de Guzmán
8,,Wilfried Bony
9,,
10,,Gerhard Tremmel
