,num,joueur
0,,Liam Ridgewell
1,,Nikola Žigić
2,,Sebastian Larsson
3,,Alexander Hleb
4,,Keith Fahey
5,,Stephen Carr
6,,Lee Bowyer
7,,Roger Johnson
8,,Barry Ferguson
9,,
10,,Maik Taylor
