,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
0,2015-08-08,12:45 ,Premier League,Matchweek 1,Sat,Home,W,1,0,Tottenham,50,"75,261",Wayne Rooney,4-2-3-1,Jonathan Moss,https://fbref.com/en/matches/86cdfeba/Manchester-United-Tottenham-Hotspur-August-8-2015-Premier-League,
1,2015-08-14,19:45 ,Premier League,Matchweek 2,Fri,Away,W,1,0,Aston Villa,54,"42,200",Wayne Rooney,4-2-3-1,Mike Dean,https://fbref.com/en/matches/eb41381a/Aston-Villa-Manchester-United-August-14-2015-Premier-League,
3,2015-08-22,12:45 ,Premier League,Matchweek 3,Sat,Home,D,0,0,Newcastle Utd,69,"75,354",Wayne Rooney,4-2-3-1,Craig Pawson,https://fbref.com/en/matches/25dcee94/Manchester-United-Newcastle-United-August-22-2015-Premier-League,
5,2015-08-30,16:00 ,Premier League,Matchweek 4,Sun,Away,L,1,2,Swansea City,65,"20,828",Wayne Rooney,4-2-3-1,Martin Atkinson,https://fbref.com/en/matches/513236ec/Swansea-City-Manchester-United-August-30-2015-Premier-League,
6,2015-09-12,17:30 ,Premier League,Matchweek 5,Sat,Home,W,3,1,Liverpool,56,"75,347",Michael Carrick,4-2-3-1,Michael Oliver,https://fbref.com/en/matches/7f752568/North-West-Derby-Manchester-United-Liverpool-September-12-2015-Premier-League,
8,2015-09-20,16:00 ,Premier League,Matchweek 6,Sun,Away,W,3,2,Southampton,59,"31,588",Wayne Rooney,4-2-3-1,Mark Clattenburg,https://fbref.com/en/matches/3d27d330/Southampton-Manchester-United-September-20-2015-Premier-League,
10,2015-09-26,15:00 ,Premier League,Matchweek 7,Sat,Home,W,3,0,Sunderland,66,"75,328",Wayne Rooney,4-2-3-1,Mike Jones,https://fbref.com/en/matches/5f447012/Manchester-United-Sunderland-September-26-2015-Premier-League,
12,2015-10-04,16:00 ,Premier League,Matchweek 8,Sun,Away,L,0,3,Arsenal,62,"60,084",Wayne Rooney,4-2-3-1,Anthony Taylor,https://fbref.com/en/matches/70bb5008/Arsenal-Manchester-United-October-4-2015-Premier-League,
13,2015-10-17,15:00 ,Premier League,Matchweek 9,Sat,Away,W,3,0,Everton,53,"39,553",Wayne Rooney,4-2-3-1,Jonathan Moss,https://fbref.com/en/matches/ffa16d45/Everton-Manchester-United-October-17-2015-Premier-League,
15,2015-10-25,14:05 ,Premier League,Matchweek 10,Sun,Home,D,0,0,Manchester City,59,"75,329",Wayne Rooney,4-2-3-1,Mark Clattenburg,https://fbref.com/en/matches/c910a121/Manchester-Derby-Manchester-United-Manchester-City-October-25-2015-Premier-League,
17,2015-10-31,15:00 ,Premier League,Matchweek 11,Sat,Away,D,0,0,Crystal Palace,55,"24,854",David de Gea,4-2-3-1,Mike Jones,https://fbref.com/en/matches/86952f23/Crystal-Palace-Manchester-United-October-31-2015-Premier-League,
19,2015-11-07,15:00 ,Premier League,Matchweek 12,Sat,Home,W,2,0,West Brom,68,"75,410",David de Gea,4-2-3-1,Mike Dean,https://fbref.com/en/matches/b9fb22c9/Manchester-United-West-Bromwich-Albion-November-7-2015-Premier-League,
20,2015-11-21,12:45 ,Premier League,Matchweek 13,Sat,Away,W,2,1,Watford,56,"20,702",Chris Smalling,4-2-2-2,Robert Madley,https://fbref.com/en/matches/7e046c61/Watford-Manchester-United-November-21-2015-Premier-League,
22,2015-11-28,17:30 ,Premier League,Matchweek 14,Sat,Away,D,1,1,Leicester City,69,"32,115",Wayne Rooney,3-4-1-2,Craig Pawson,https://fbref.com/en/matches/6a421739/Leicester-City-Manchester-United-November-28-2015-Premier-League,
23,2015-12-05,15:00 ,Premier League,Matchweek 15,Sat,Home,D,0,0,West Ham,63,"75,350",Chris Smalling,4-2-3-1,Mark Clattenburg,https://fbref.com/en/matches/7c620663/Manchester-United-West-Ham-United-December-5-2015-Premier-League,
25,2015-12-12,17:30 ,Premier League,Matchweek 16,Sat,Away,L,1,2,Bournemouth,57,"11,334",Michael Carrick,4-2-3-1,Anthony Taylor,https://fbref.com/en/matches/cb602d61/Bournemouth-Manchester-United-December-12-2015-Premier-League,
26,2015-12-19,15:00 ,Premier League,Matchweek 17,Sat,Home,L,1,2,Norwich City,69,"75,320",Wayne Rooney,4-2-3-1,Michael Oliver,https://fbref.com/en/matches/8d502375/Manchester-United-Norwich-City-December-19-2015-Premier-League,
27,2015-12-26,12:45 ,Premier League,Matchweek 18,Sat,Away,L,0,2,Stoke City,59,"27,426",Michael Carrick,4-2-3-1,Kevin Friend,https://fbref.com/en/matches/693de83b/Stoke-City-Manchester-United-December-26-2015-Premier-League,
28,2015-12-28,17:30 ,Premier League,Matchweek 19,Mon,Home,D,0,0,Chelsea,67,"75,275",Wayne Rooney,4-2-3-1,Martin Atkinson,https://fbref.com/en/matches/ee5182b1/Manchester-United-Chelsea-December-28-2015-Premier-League,
